Transaction Date,Local Authority Establishment,Benificiary (Merchant),Amount,Unrecoverable VAT,Expenditure Purpose,Merchant Category
21/07/2016,DCC-BARLEY LANE SCH-C0611313,CREALY GREAT ADVEN,95.2,0,Leisure Activities,Amusement parks & circuses
22/07/2016,DCC HATHERLEIGH PS-C 0514362,Amazon UK Marketplace,59.99,0,General Retail and Wholesale,Miscellaneous retail
22/07/2016,DCC KING EDWARD VI COMMUNITY C,Amazon UK Marketplace,41.09,0,General Retail and Wholesale,Miscellaneous retail
22/07/2016,DCC KING EDWARD VI COMMUNITY C,PAYPAL TAN CHAOJUN,864.11,0,General Retail and Wholesale,Electronics shops
22/07/2016,DCC PARK SCHOOL-CP0629582GBP,MONKEY PRINT,460.8,0,Print and Advertising,Publishing & printing services
22/07/2016,DCC WILLAND SCH-C 0509473,TESCO STORES 5663,-32,0,General Retail and Wholesale,Grocery stores
22/07/2016,DCC-BARLEY LANE SCH-C0611313,POST OFFICE COUNTER,40.29,0,Mail and Courier Services,Postal services
22/07/2016,DCC-BARLEY LANE SCH-C0611313,POST OFFICE COUNTER,33.38,0,Mail and Courier Services,Postal services
22/07/2016,DCC-RATCLIFFE SCH-C- 0503860,Amazon UK Marketplace,185,0,General Retail and Wholesale,Miscellaneous retail
22/07/2016,DEVON COUNTY COUNCIL- MARLAND,EE & T-MOBILE,137.09,0,Telecommunication Services,Phone services
22/07/2016,WEST EXE TECHNOLOGY COLLEGE,Amazon UK Marketplace,13.64,0,Books and Periodicals,Book stores
25/07/2016,DCC WILLAND SCH-C 0509473,TESCO STORES 5663,3.25,0,General Retail and Wholesale,Grocery stores
25/07/2016,DCC-RATCLIFFE SCH-C- 0503860,Amazon UK Marketplace,53.35,0,General Retail and Wholesale,Miscellaneous retail
26/07/2016,DEVON COUNTY COUNCIL- MARLAND,Amazon UK Marketplace,17.98,0,General Retail and Wholesale,Miscellaneous retail
27/07/2016,DCC EAST DEVON LEARN DISB SERV,TESCO STORES 5138,68.27,0,General Retail and Wholesale,Grocery stores
27/07/2016,DCC KING EDWARD VI COMMUNITY C,Amazon UK Retail,28.57,0,Mail Order / Direct Selling,Direct sales companies
27/07/2016,DCC KING EDWARD VI COMMUNITY C,Amazon UK Retail,34.28,0,Mail Order / Direct Selling,Direct sales companies
27/07/2016,DCC KING EDWARD VI COMMUNITY C,Amazon UK Retail,11.43,0,Mail Order / Direct Selling,Direct sales companies
27/07/2016,DCC KING EDWARD VI COMMUNITY C,Amazon UK Retail,5.71,0,Mail Order / Direct Selling,Direct sales companies
27/07/2016,DCC KING EDWARD VI COMMUNITY C,WWW.SAFETYFIRSTAID.CO.,113.78,0,Miscellaneous Industrial/Commercial Supplies,Misc Industrial supplies
27/07/2016,DCC-SOUTH MOLTON INF-C0595442,Amazon UK Marketplace,7.32,0,Books and Periodicals,Book stores
27/07/2016,DCC-SOUTH MOLTON INF-C0595442,Amazon UK Retail,26.32,0,Mail Order / Direct Selling,Direct sales companies
28/07/2016,DCC-SOUTH MOLTON INF-C0595442,Amazon UK Marketplace,4.75,0,General Retail and Wholesale,Miscellaneous retail
28/07/2016,DCC-SOUTH MOLTON INF-C0595442,AMAZON UK RETAIL AMAZON.C,11.38,0,General Retail and Wholesale,Miscellaneous retail
29/07/2016,DCC - WITHERIDGE PRIM SCHOOL,ARGOS RETAIL GROUP,356.92,0,General Retail and Wholesale,Discount stores
29/07/2016,DCC BOLHAM PRIMARY SCH 0474800,ITUNES.COM/BILL,0.79,0,General Retail and Wholesale,Record shops
29/07/2016,DCC COURT OF PROTECT-C 0509893,WWW.DEVON.GOV.UK,10.5,0,Training and Educational,Colleges & universities
29/07/2016,DCC TOTNES FULLFILLING LIVES S,WWW.KAPITEX.COM,15.6,0,Medical Supplies and Services,Medical & health services
30/07/2016,DCC WILLAND SCH-C 0509473,TESCO STORES 5663,11,0,General Retail and Wholesale,Grocery stores
31/07/2016,DCC - LANDSCORE PRIMARY SCH,Amazon Digital Dwnlds,8.78,0,General Retail and Wholesale,Record shops
02/08/2016,DCC LEASE DAY CENTRE,MAKRO SELF SERVICE EXETER,165.5,0,General Retail and Wholesale,Wholesale clubs
03/08/2016,DCC COURT OF PROTECT-C 0509893,WWW.HIGOS.CO.UK,247.02,0,Financial Services,"Insurance sales, underwritering, premiums"
03/08/2016,DCC KING EDWARD VI COMMUNITY C,LAPTOPSCREEN.CO.UK,272.93,0,Computer Equipment & Services,Computer software stores
03/08/2016,DEVON COUNTY COUNCIL- MARLAND,TESCO DELIVERY SAVER2,6,0,Mail Order / Direct Selling,Continuous subscriptions
04/08/2016,DCC COURT OF PROTECT-C 0509893,ARGOS RETAIL GROUP,15.98,0,General Retail and Wholesale,Discount stores
04/08/2016,DCC WILLAND SCH-C 0509473,Amazon UK Marketplace,6.9,0,General Retail and Wholesale,Miscellaneous retail
05/08/2016,DCC EAST DEVON LEARN DISB SERV,TESCO STORES 5138,63.28,0,General Retail and Wholesale,Grocery stores
06/08/2016,DCC COAVER CLUB-C0606311,ITUNES.COM/BILL,12.99,0,General Retail and Wholesale,Record shops
08/08/2016,DCC COURT OF PROTECT-C 0509893,AGE UK INSURANCE SERVI,54.62,0,Financial Services,"Insurance sales, underwritering, premiums"
09/08/2016,DCC-BASSETTS FARM PR 0487469,ASDA HOME SHOPPING,5,0,General Retail and Wholesale,Grocery stores
10/08/2016,DCC COURT OF PROTECT-C 0509893,VISIONCALL HEARING,49,0,Medical Supplies and Services,Opticians
10/08/2016,DCC COURT OF PROTECT-C 0509893,WWW.GOV.UK,10,0,Professional Services,Professional services
11/08/2016,DCC EAST DEVON LEARN DISB SERV,ASDA HOME SHOPPING,-0.85,0,General Retail and Wholesale,Grocery stores
11/08/2016,DCC EAST DEVON LEARN DISB SERV,ASDA HOME SHOPPING,-1.85,0,General Retail and Wholesale,Grocery stores
11/08/2016,DCC EAST DEVON LEARN DISB SERV,ASDA HOME SHOPPING,62.88,0,General Retail and Wholesale,Grocery stores
11/08/2016,DCC HATHERLEIGH PS-C 0514362,Kindle Unlimited,7.99,0,General Retail and Wholesale,Record shops
11/08/2016,DCC HATHERLEIGH PS-C 0514362,Amazon Prime,79,0,Mail Order / Direct Selling,Continuous subscriptions
11/08/2016,DCC KING EDWARD VI COMMUNITY C,ORANGE (A/PM/01),313.84,0,Telecommunication Services,Phone services
12/08/2016,DCC COURT OF PROTECT-C 0509893,BARCLAYS INSURANCE,28.44,0,Financial Services,Direct marketing insurance services
12/08/2016,DCC HATHERLEIGH PS-C 0514362,AMZ UK Digital Dwnload,1.99,0,General Retail and Wholesale,Record shops
16/08/2016,DCC COURT OF PROTECT-C 0509893,MARKS&SPENCER PLC,38.5,0,General Retail and Wholesale,Grocery stores
17/08/2016,DCC SOUTH MOLTON COMMUNITY COL,SURVEYMONKEY.COM,21.67,0,Mail Order / Direct Selling,Continuous subscriptions
18/08/2016,DCC EAST DEVON LEARN DISB SERV,TVLICENSING.CO.UK,145.5,0,Professional Services,Consultants & public relation services
18/08/2016,DCC WHITCHURCH - C 0559309,TAVY TEXTILES,26,0,General Retail and Wholesale,Fabric and sewing shops
19/08/2016,DCC COAVER CLUB-C0606311,HALL FAST,179.86,0,Miscellaneous Industrial/Commercial Supplies,Misc Industrial supplies
19/08/2016,DCC EAST DEVON LEARN DISB SERV,ASDA HOME SHOPPING,-1.24,0,General Retail and Wholesale,Grocery stores
19/08/2016,DCC EAST DEVON LEARN DISB SERV,ASDA HOME SHOPPING,83.36,0,General Retail and Wholesale,Grocery stores
22/08/2016,DCC COAVER CLUB-C0606311,ELMS,21,0,Statutory Bodies,Government services
23/08/2016,DCC COURT OF PROTECT-C 0509893,MARKS&SPENCER PLC,95.5,0,General Retail and Wholesale,Grocery stores
23/08/2016,DCC EAST DEVON LEARN DISB SERV,ARGOS LTD,44.99,0,General Retail and Wholesale,Discount stores
24/08/2016,DCC COAVER CLUB-C0606311,WWW.HGS.CO.UK,129.6,0,Catering and Catering Supplies,Caterers
24/08/2016,DCC COURT OF PROTECT-C 0509893,MTL ONLINE RETAIL,23.79,0,Leisure Activities,Misc. recreational services
25/08/2016,DCC KING EDWARD VI COMMUNITY C,SP LOOP EDUCATION,82.08,0,General Retail and Wholesale,Men & womens clothing shops
