Transaction Date,Local Authority Establishment,Benificiary (Merchant),Amount,Unrecoverable VAT,Expenditure Purpose,Merchant Category
31/10/2017,BERE ALSTON PRIM-CP0685610GBP,AMAZON EU AMAZON.CO.UK,105.98,0,General Retail and Wholesale,Miscellaneous retail
24/10/2017,CHUDLEIGH-CP0685924GBP,Amazon UK Marketplace,22.4,0,Books and Periodicals,Book stores
27/10/2017,CHUDLEIGH-CP0685924GBP,OXFAM F3229,9.44,0,Clubs/Associations/Organisations,Charitable organisations
31/10/2017,CHUDLEIGH-CP0685924GBP,SERENATA FLOWERS,19.99,0,Estate and Garden Services,Florists
09/11/2017,CHUDLEIGH-CP0685924GBP,AMAZON SVCS EU-UK AMAZON.,6.89,0,Books and Periodicals,Book stores
09/11/2017,CHUDLEIGH-CP0685924GBP,Amazon UK Marketplace,13.3,0,Books and Periodicals,Book stores
09/11/2017,CHUDLEIGH-CP0685924GBP,Amazon UK Marketplace,6.55,0,Books and Periodicals,Book stores
09/11/2017,CHUDLEIGH-CP0685924GBP,Amazon UK Marketplace,7.98,0,Books and Periodicals,Book stores
09/11/2017,CHUDLEIGH-CP0685924GBP,Amazon UK Marketplace,20.67,0,Books and Periodicals,Book stores
09/11/2017,CHUDLEIGH-CP0685924GBP,Amazon UK Marketplace,17.98,0,Books and Periodicals,Book stores
10/11/2017,CHUDLEIGH-CP0685924GBP,MARKS&SPENCER PLC,25,0,General Retail and Wholesale,Grocery stores
13/11/2017,CHUDLEIGH-CP0685924GBP,ASDA HOME SHOPPING,-0.75,0,General Retail and Wholesale,Grocery stores
13/11/2017,CHUDLEIGH-CP0685924GBP,ASDA HOME SHOPPING,141.85,0,General Retail and Wholesale,Grocery stores
13/11/2017,CHUDLEIGH-CP0685924GBP,EXPEDIA 7309297528726,103.94,0,Travel - Air/Rail/Road,Travel agencies
14/11/2017,CHUDLEIGH-CP0685924GBP,AMAZON SVCS EU-UK AMAZON.,22.99,0,Books and Periodicals,Book stores
17/11/2017,CHUDLEIGH-CP0685924GBP,AMAZON SVCS EU-UK AMAZON.,6.99,0,Books and Periodicals,Book stores
17/11/2017,CHUDLEIGH-CP0685924GBP,RAILEASY WEB SITE,75.03,0,Travel - Air/Rail/Road,Passenger railways
30/10/2017,COUNTESS WEAR PRI-CP0681219GBP,TESCO STORE 2487,126.1,0,General Retail and Wholesale,Grocery stores
01/11/2017,COUNTESS WEAR PRI-CP0681219GBP,COFFEE SUPPLIES DIRECT,233.25,0,Catering and Catering Supplies,Misc Food stores
02/11/2017,COUNTESS WEAR PRI-CP0681219GBP,POST OFFICE COUNTER,9,0,Mail and Courier Services,Postal services
03/11/2017,COUNTESS WEAR PRI-CP0681219GBP,POST OFFICE COUNTER,9.74,0,Mail and Courier Services,Postal services
06/11/2017,COUNTESS WEAR PRI-CP0681219GBP,TESCO STORE 2487,93.5,0,General Retail and Wholesale,Grocery stores
13/11/2017,COUNTESS WEAR PRI-CP0681219GBP,ALDI 49 780,13.72,0,General Retail and Wholesale,Grocery stores
13/11/2017,COUNTESS WEAR PRI-CP0681219GBP,TESCO STORE 2487,88.91,0,General Retail and Wholesale,Grocery stores
15/11/2017,COUNTESS WEAR PRI-CP0681219GBP,ONE STOP 1437,9.78,0,General Retail and Wholesale,Grocery stores
21/11/2017,COUNTESS WEAR PRI-CP0681219GBP,TESCO STORE 2487,119.12,0,General Retail and Wholesale,Grocery stores
01/11/2017,D C C WESTCROFT JUNIOR SCHOOL,AMAZON EU AMAZON.CO.UK,131.78,0,General Retail and Wholesale,Miscellaneous retail
01/11/2017,D C C WESTCROFT JUNIOR SCHOOL,AMAZON EU AMAZON.CO.UK,7.99,0,General Retail and Wholesale,Miscellaneous retail
01/11/2017,D C C WESTCROFT JUNIOR SCHOOL,AMAZON EU AMAZON.CO.UK,25.96,0,General Retail and Wholesale,Miscellaneous retail
02/11/2017,D C C WESTCROFT JUNIOR SCHOOL,CURRYS ONLINE,298.99,0,General Retail and Wholesale,Electronics shops
02/11/2017,D C C WESTCROFT JUNIOR SCHOOL,TORRIDGE DISTRICT COUN,8.1,0,Statutory Bodies,Government services
03/11/2017,D C C WESTCROFT JUNIOR SCHOOL,AMAZON SVCS EU-UK AMAZON.,20.99,0,Books and Periodicals,Book stores
08/11/2017,D C C WESTCROFT JUNIOR SCHOOL,AMAZON SVCS EU-UK AMAZON.,56.94,0,Books and Periodicals,Book stores
09/11/2017,D C C WESTCROFT JUNIOR SCHOOL,Amazon UK Retail,27.31,0,Mail Order / Direct Selling,Direct sales companies
10/11/2017,D C C WESTCROFT JUNIOR SCHOOL,AMAZON EU AMAZON.CO.UK,22.98,0,General Retail and Wholesale,Miscellaneous retail
13/11/2017,D C C WESTCROFT JUNIOR SCHOOL,VISTAPR VistaPrint.com,36.92,0,Print and Advertising,Publishing & printing services
15/11/2017,D C C WESTCROFT JUNIOR SCHOOL,AMAZON SVCS EU-UK AMAZON.,12.95,0,Books and Periodicals,Book stores
16/11/2017,D C C WESTCROFT JUNIOR SCHOOL,AMAZON EU AMAZON.CO.UK,11.82,0,General Retail and Wholesale,Miscellaneous retail
17/11/2017,D C C WESTCROFT JUNIOR SCHOOL,BAKER ROSS LTD,127.08,0,General Retail and Wholesale,Art & craft shops
17/11/2017,D C C WESTCROFT JUNIOR SCHOOL,AMAZON EU AMAZON.CO.UK,5.91,0,General Retail and Wholesale,Miscellaneous retail
22/11/2017,D C C WESTCROFT JUNIOR SCHOOL,WWW.SINCLAIR-RUSH.CO.U,50.94,0,Miscellaneous Industrial/Commercial Supplies,Misc Industrial supplies
13/10/2017,DCC - AXE BEACON-CP0697835GBP,CREST MEDICAL,-24,0,Medical Supplies and Services,"Laboratory, medical & hospital equipment"
31/10/2017,DCC - AXE BEACON-CP0697835GBP,WP-STORMFLAME LTD,35.03,0,General Retail and Wholesale,Miscellaneous retail
31/10/2017,DCC - AXE BEACON-CP0697835GBP,TVLICENSING.CO.UK,147,0,Professional Services,Consultants & public relation services
01/11/2017,DCC - AXE BEACON-CP0697835GBP,Amazon UK Marketplace,22.5,0,Books and Periodicals,Book stores
02/11/2017,DCC - AXE BEACON-CP0697835GBP,NATIONAL PLASTICS EXETER,13.09,0,Building Materials,Timber & building supplies
07/11/2017,DCC - AXE BEACON-CP0697835GBP,AMAZON SVCS EU-UK AMAZON.,10.95,0,Books and Periodicals,Book stores
08/11/2017,DCC - AXE BEACON-CP0697835GBP,WWW.BUYPLUMBINGONLINE.,39.78,0,Building Materials,Plumbing & heating equipment & supplies
08/11/2017,DCC - AXE BEACON-CP0697835GBP,CONTINENTALPRODUCT,81.53,0,Utilities and Non Automotive Fuel,Utilities
11/11/2017,DCC - AXE BEACON-CP0697835GBP,ITUNES.COM/BILL,29.8,0,General Retail and Wholesale,Record shops
11/11/2017,DCC - AXE BEACON-CP0697835GBP,ITUNES.COM/BILL,9.95,0,General Retail and Wholesale,Record shops
11/11/2017,DCC - AXE BEACON-CP0697835GBP,ITUNES.COM/BILL,6.97,0,General Retail and Wholesale,Record shops
13/11/2017,DCC - AXE BEACON-CP0697835GBP,ITUNES.COM/BILL,19.6,0,General Retail and Wholesale,Record shops
13/11/2017,DCC - AXE BEACON-CP0697835GBP,ITUNES.COM/BILL,39.6,0,General Retail and Wholesale,Record shops
14/11/2017,DCC - AXE BEACON-CP0697835GBP,ITUNES.COM/BILL,9.98,0,General Retail and Wholesale,Record shops
15/11/2017,DCC - AXE BEACON-CP0697835GBP,ITUNES.COM/BILL,7.99,0,General Retail and Wholesale,Record shops
16/11/2017,DCC - AXE BEACON-CP0697835GBP,Amazon UK Marketplace,16.94,0,Books and Periodicals,Book stores
17/11/2017,DCC - AXE BEACON-CP0697835GBP,Amazon UK Marketplace,9.93,0,Books and Periodicals,Book stores
22/11/2017,DCC - AXE BEACON-CP0697835GBP,ITUNES.COM/BILL,2.99,0,General Retail and Wholesale,Record shops
07/11/2017,DCC - CAREY FEDER-CP0687759GBP,AMAZON SVCS EU-UK AMAZON.,4.75,0,Books and Periodicals,Book stores
07/11/2017,DCC - CAREY FEDER-CP0687759GBP,AMAZON SVCS EU-UK AMAZON.,20.3,0,Books and Periodicals,Book stores
07/11/2017,DCC - CAREY FEDER-CP0687759GBP,EE TOP UP VESTA,10,0,Telecommunication Services,Phone services
08/11/2017,DCC - CAREY FEDER-CP0687759GBP,AMAZON SVCS EU-UK AMAZON.,13.77,0,Books and Periodicals,Book stores
08/11/2017,DCC - CAREY FEDER-CP0687759GBP,AMAZON SVCS EU-UK AMAZON.,3.29,0,Books and Periodicals,Book stores
08/11/2017,DCC - CAREY FEDER-CP0687759GBP,AMAZON SVCS EU-UK AMAZON.,19.75,0,Books and Periodicals,Book stores
08/11/2017,DCC - CAREY FEDER-CP0687759GBP,IKEA LIMITED,10,0,General Retail and Wholesale,Furniture & home furnishing
08/11/2017,DCC - CAREY FEDER-CP0687759GBP,IKEA LIMITED,42.75,0,General Retail and Wholesale,Furniture & home furnishing
09/11/2017,DCC - CAREY FEDER-CP0687759GBP,WWW.SCHOOLSTICKERS.CO.,21.36,0,Print and Advertising,Publishing & printing services
09/11/2017,DCC - CAREY FEDER-CP0687759GBP,SCHOFIELD & SIMS L,172.5,0,Training and Educational,Schools
13/11/2017,DCC - CAREY FEDER-CP0687759GBP,AMAZON SVCS EU-UK AMAZON.,5.99,0,Books and Periodicals,Book stores
17/11/2017,DCC - CAREY FEDER-CP0687759GBP,AMAZON SVCS EU-UK AMAZON.,20,0,Books and Periodicals,Book stores
17/11/2017,DCC - CAREY FEDER-CP0687759GBP,SCHOFIELD & SIMS L,47.5,0,Training and Educational,Schools
20/11/2017,DCC - CAREY FEDER-CP0687759GBP,AMAZON SVCS EU-UK AMAZON.,159,0,Books and Periodicals,Book stores
30/10/2017,DCC - DAWLISH CC-CP0689084GBP,TESCO STORE 2920,90.08,0,General Retail and Wholesale,Grocery stores
30/10/2017,DCC - DAWLISH CC-CP0689084GBP,WWW.METALS4U.CO.UK,97.42,0,Miscellaneous Industrial/Commercial Supplies,Metal products
31/10/2017,DCC - DAWLISH CC-CP0689084GBP,WWW.TEIGNBRIDGE.GOV.UK,20,0,Statutory Bodies,Government services
01/11/2017,DCC - DAWLISH CC-CP0689084GBP,AMAZON EU AMAZON.CO.UK,6.38,0,General Retail and Wholesale,Miscellaneous retail
02/11/2017,DCC - DAWLISH CC-CP0689084GBP,VIRGIN MONEY GIVING,495.34,0,Clubs/Associations/Organisations,Charitable organisations
07/11/2017,DCC - DAWLISH CC-CP0689084GBP,TESCO STORE 2920,63.69,0,General Retail and Wholesale,Grocery stores
07/11/2017,DCC - DAWLISH CC-CP0689084GBP,ITUNES.COM/BILL,4.98,0,General Retail and Wholesale,Record shops
07/11/2017,DCC - DAWLISH CC-CP0689084GBP,THE PLASTIC BOX COMPANY,58.75,0,Miscellaneous Industrial/Commercial Supplies,Misc Industrial supplies
