Transaction Date,Local Authority Establishment,Benificiary (Merchant),Amount,Unrecoverable VAT,Expenditure Purpose,Merchant Category
09/03/2020,DCC TIVERTON HIGH-CP0686203GBP,TICKETS08712200260,-907.20,0.00,Leisure Activities,Theatres and ticket agencies
12/03/2020,DCC LEASE DAY CENTRE,CURRYS ONLINE,-399.00,0.00,General Retail and Wholesale,Electronics shops
15/04/2020,DCC-CHILDRENS SOC-CP0762919GBP,GEN REGISTER OFFICE,-7.50,0.00,Statutory Bodies,Government services
15/04/2020,DCC-CHILDRENS SOC-CP0762919GBP,GEN REGISTER OFFICE,-22.00,0.00,Statutory Bodies,Government services
15/04/2020,DCC-CHILDRENS SOC-CP0762919GBP,GEN REGISTER OFFICE,-29.50,0.00,Statutory Bodies,Government services
17/04/2020,DCC-CHILDRENS SOC-CP0762919GBP,GEN REGISTER OFFICE,-7.50,0.00,Statutory Bodies,Government services
20/04/2020,DCC-WELLAND HOUSE-CP0770668GBP,SP   WITHECOMBES,46.50,0.00,Computer Equipment & Services,Computer software stores
20/04/2020,DCC TIVERTON HIGH-CP0686203GBP,P&O METALS LIMITED,-534.00,0.00,Miscellaneous Industrial/Commercial Supplies,Misc Industrial supplies
20/04/2020,DCC TIVERTON HIGH-CP0686203GBP,P&O METALS LIMITED,534.00,0.00,Miscellaneous Industrial/Commercial Supplies,Misc Industrial supplies
21/04/2020,DCC TIVERTON HIGH-CP0686203GBP,WWW.FOCUSONPHONICS.CO.,65.00,0.00,Books and Periodicals,Book stores
22/04/2020,DCC KINGSACRE PRI-CP0730877GBP,AMZNMKTPLACE AMAZON.CO.UK,47.97,0.00,General Retail and Wholesale,Miscellaneous retail
22/04/2020,DCC-TRINITY PRIMA-CP0711159GBP,ALDI 49 780,14.93,0.00,General Retail and Wholesale,Grocery stores
23/04/2020,DCC - SIDMOUTH CO-CP0697845GBP,PAYPAL  DING/EZETOP,34.09,0.00,Telecommunication Services,Phone equipment & sales
23/04/2020,DCC - ST ANDREWS-CP0687779GBP,AMZNMKTPLACE AMAZON.CO.UK,38.95,0.00,General Retail and Wholesale,Miscellaneous retail
23/04/2020,DCC - ST ANDREWS-CP0687779GBP,AMZNMKTPLACE AMAZON.CO.UK,20.09,0.00,General Retail and Wholesale,Miscellaneous retail
23/04/2020,DCC - TOTNES DIST-CP0666223GBP,ARGOS LTD,303.94,0.00,General Retail and Wholesale,Discount stores
23/04/2020,DCC - TOTNES DIST-CP0666223GBP,WWW.CARPHONEWAREHO,89.99,0.00,Telecommunication Services,Phone equipment & sales
23/04/2020,DCC COAVER CLUB-C0606311,THE RANGE,265.99,0.00,General Retail and Wholesale,Department stores
23/04/2020,DCC COURT OF PROTECT-C 0509893,DEVON REGISTRARS O,11.00,0.00,Training and Educational,Colleges & universities
23/04/2020,DCC EXETER CHILD-CP0714942GBP,EGRESS SWITCH,189.06,0.00,Computer Equipment & Services,Computer software stores
