Transaction Date,Local Authority Establishment,Benificiary (Merchant),Amount,Unrecoverable VAT,Expenditure Purpose,Merchant Category
23/07/2021,D C C WESTCROFT JUNIOR SCHOOL,Amazon.co.uk MU2D035F5,11.00,0.00,Mail Order / Direct Selling,Direct sales companies
23/07/2021,DCC - HILLCREST-CP0769859GBP,ICELAND,16.59,0.00,General Retail and Wholesale,Grocery stores
23/07/2021,DCC - TOTNES DIST-CP0666223GBP,CURRYS ONLINE,394.00,0.00,General Retail and Wholesale,Electronics shops
23/07/2021,DCC - WOLBOROUGH-CP0704784GBP,ASDA GROCERIES ONLINE,297.85,0.00,General Retail and Wholesale,Grocery stores
23/07/2021,DCC - WOLBOROUGH-CP0704784GBP,ASDA GROCERIES ONLINE,-4.26,0.00,General Retail and Wholesale,Grocery stores
23/07/2021,DCC - WOLBOROUGH-CP0704784GBP,ASDA STORES LTD 5762,10.20,0.00,General Retail and Wholesale,Grocery stores
23/07/2021,DCC BIDWELL BROOK-CP0687798GBP,ONE4ALL,60.00,0.00,General Retail and Wholesale,Department stores
23/07/2021,DCC CANADA HILL P-CP0685889GBP,AMZNMktplace,26.37,0.00,General Retail and Wholesale,Miscellaneous retail
23/07/2021,DCC COAVER CLUB-C0606311,ALDI 49 780,47.55,0.00,General Retail and Wholesale,Grocery stores
23/07/2021,DCC COURT OF PROTECT-C 0509893,AMZNMktplace,244.98,0.00,General Retail and Wholesale,Miscellaneous retail
23/07/2021,DCC GOODLEIGH PRI-CP0693342GBP,ASDA  STORES 4399,8.00,0.00,General Retail and Wholesale,Grocery stores
23/07/2021,DCC GT TORRINGTON-CP0715578GBP,TESCO STORES 6269,115.52,0.00,General Retail and Wholesale,Grocery stores
23/07/2021,DCC HORWOOD & NEWTON- C0529381,AMZNMktplace,37.49,0.00,General Retail and Wholesale,Miscellaneous retail
23/07/2021,DCC HORWOOD & NEWTON- C0529381,AMZNMKTPLACE AMAZON.CO.UK,8.02,0.00,General Retail and Wholesale,Miscellaneous retail
23/07/2021,DCC HORWOOD & NEWTON- C0529381,AMZNMKTPLACE AMAZON.CO.UK,4.81,0.00,General Retail and Wholesale,Miscellaneous retail
