Transaction Date,Local Authority Establishment,Benificiary (Merchant),Amount,Unrecoverable VAT,Expenditure Purpose,Merchant Category
19/10/2016,DCC - TOTNES DIST-CP0666223GBP,GRO HM PASSPORT OFFICE,-9.25,0,Statutory Bodies,Government services
21/10/2016,D C C WESTCROFT JUNIOR SCHOOL,AMAZON UK RETAIL AMAZON.C,4.35,0,General Retail and Wholesale,Miscellaneous retail
21/10/2016,D C C WESTCROFT JUNIOR SCHOOL,Amazon UK Retail,4.35,0,Mail Order / Direct Selling,Direct sales companies
21/10/2016,DCC COURT OF PROTECT-C 0509893,WWW.INCYWINCY.NET,51.5,0,General Retail and Wholesale,Men/boys clothing shops
21/10/2016,DCC WILLAND SCH-C 0509473,Amazon UK Marketplace,7.56,0,Books and Periodicals,Book stores
21/10/2016,DCC-BARLEY LANE SCH-C0611313,VUE BSL LTD,49.8,0,Leisure Activities,Cinemas
21/10/2016,DCC-BARLEY LANE SCH-C0611313,VUE BSL LTD,4.15,0,Leisure Activities,Cinemas
21/10/2016,DCC-BARLEY LANE SCH-C0611313,WWW.POSTOFFICE.CO.UK,20,0,Mail and Courier Services,Postal services
21/10/2016,DCC-BARLEY LANE SCH-C0611313,EXETER BUFFET LIMITED,71.4,0,Restaurants and Bars,Restaurants
21/10/2016,DCC-RATCLIFFE SCH-C- 0503860,INTERFLORA BRITISH UNI,38,0,Estate and Garden Services,Florists
21/10/2016,WEST EXE TECHNOLOGY COLLEGE,TVLICENSING.CO.UK,145.5,0,Professional Services,Consultants & public relation services
22/10/2016,DCC PARK SCHOOL-CP0629582GBP,JONATHAN MYALL MUS,1229,0,General Retail and Wholesale,Music stores & instruments
22/10/2016,DCC WHITCHURCH - C 0559309,PENS AND MOOR,6,0,Print and Advertising,Publishing & printing services
22/10/2016,DECOY PRIMARY-CP0636389GBP,PARTY HQ LTD,61.38,0,General Retail and Wholesale,"Gift, card & novelty shops"
22/10/2016,DECOY PRIMARY-CP0636389GBP,TOYS R US,8.99,0,General Retail and Wholesale,Misc. general merchandise
22/10/2016,WEST EXE TECHNOLOGY COLLEGE,HARD ROCK NEW YORK R,651.36,0,Restaurants and Bars,Restaurants
23/10/2016,D C C WESTCROFT JUNIOR SCHOOL,AMAZON UK RETAIL AMAZON.C,4.35,0,General Retail and Wholesale,Miscellaneous retail
23/10/2016,DCC-STICKLEPATH-CP0660198GBP,Amazon UK Marketplace,26.99,0,General Retail and Wholesale,Miscellaneous retail
23/10/2016,DCC-STICKLEPATH-CP0660198GBP,Amazon UK Marketplace,2.84,0,General Retail and Wholesale,Miscellaneous retail
24/10/2016,DCC COURT OF PROTECT-C 0509893,Amazon UK Marketplace,10.21,0,General Retail and Wholesale,Miscellaneous retail
24/10/2016,DCC COURT OF PROTECT-C 0509893,Amazon UK Marketplace,169.99,0,General Retail and Wholesale,Miscellaneous retail
24/10/2016,DCC COURT OF PROTECT-C 0509893,TESCO - Seller_IST_1_2401,212,0,General Retail and Wholesale,Miscellaneous retail
24/10/2016,DCC-STICKLEPATH-CP0660198GBP,Amazon UK Retail,5.41,0,Mail Order / Direct Selling,Direct sales companies
25/10/2016,DCC - EXETER LEARNING DIS,ARGOS RETAIL GROUP,28.94,0,General Retail and Wholesale,Discount stores
25/10/2016,DCC - TOTNES DIST-CP0666223GBP,GRO HM PASSPORT OFFICE,9.25,0,Statutory Bodies,Government services
25/10/2016,DCC MOLLY OWEN COMTY RESOURCE,WWW.SUNDEALA.CO.UK,49.68,0,Mail Order / Direct Selling,Catalogue sales
25/10/2016,DCC-STICKLEPATH-CP0660198GBP,Amazon UK Marketplace,32.31,0,General Retail and Wholesale,Miscellaneous retail
25/10/2016,DCC-STICKLEPATH-CP0660198GBP,Amazon UK Marketplace,9.97,0,General Retail and Wholesale,Miscellaneous retail
26/10/2016,DCC - TOTNES DIST-CP0666223GBP,GRO HM PASSPORT OFFICE,46.8,0,Statutory Bodies,Government services
26/10/2016,DCC COURT OF PROTECT-C 0509893,GRO HM PASSPORT OFFICE,9.25,0,Statutory Bodies,Government services
26/10/2016,DCC TOTNES FULLFILLING LIVES S,KING OF COTTON,13.95,0,General Retail and Wholesale,Furniture & home furnishing
26/10/2016,DCC WILLAND SCH-C 0509473,Amazon UK Marketplace,5.39,0,General Retail and Wholesale,Miscellaneous retail
28/10/2016,DCC EAST DEVON LEARN DISB SERV,TESCO STORES 5138,60.86,0,General Retail and Wholesale,Grocery stores
28/10/2016,DCC ST HORRABRIDGE-C 0514361,TESCO STORE 3031,39.33,0,General Retail and Wholesale,Grocery stores
28/10/2016,DCC WHITCHURCH - C 0559309,WWW.BAKERROSS.CO.UK,9.94,0,General Retail and Wholesale,Art & craft shops
30/10/2016,DEVON COUNTY COUNCIL- MARLAND,AMAZON UK RETAIL AMAZON.C,5.99,0,General Retail and Wholesale,Miscellaneous retail
30/10/2016,DEVON COUNTY COUNCIL- MARLAND,AMAZON UK RETAIL AMAZON.C,5.99,0,General Retail and Wholesale,Miscellaneous retail
30/10/2016,DEVON COUNTY COUNCIL- MARLAND,AMAZON UK RETAIL AMAZON.C,5.99,0,General Retail and Wholesale,Miscellaneous retail
31/10/2016,D C C WESTCROFT JUNIOR SCHOOL,Amazon UK Marketplace,8.88,0,General Retail and Wholesale,Miscellaneous retail
31/10/2016,DCC KING EDWARD VI COMMUNITY C,GWR WEBSALES ECOM,179.6,0,Travel - Air/Rail/Road,Passenger railways
31/10/2016,DCC LEASE DAY CENTRE,MAKRO SELF SERVICE EXETER,95.97,0,General Retail and Wholesale,Wholesale clubs
31/10/2016,DCC SOUTH MOLTON COMMUNITY COL,THE BOOK PEOPLE,22.98,0,Books and Periodicals,Book stores
31/10/2016,DCC SOUTH MOLTON COMMUNITY COL,THE BOOK PEOPLE,74.53,0,Books and Periodicals,Book stores
31/10/2016,DCC SOUTH MOLTON COMMUNITY COL,DROPBOX GSTXYHCLZ5DH,79,0,Computer Equipment & Services,Computer network information services
31/10/2016,DCC SOUTH MOLTON COMMUNITY COL,WWW.OFFICENEEDSDIRECT.,48.66,0,"Office Stationery, Equipment and Supplies",Stationery & office supplies stores
31/10/2016,DCC WHITCHURCH - C 0559309,TESCO STORE 3031,179.73,0,General Retail and Wholesale,Grocery stores
31/10/2016,DCC WHITCHURCH - C 0559309,TESCO STORE 3539,-0.65,0,General Retail and Wholesale,Grocery stores
31/10/2016,DCC WILLAND SCH-C 0509473,TESCO STORES 5138,141.41,0,General Retail and Wholesale,Grocery stores
31/10/2016,DECOY PRIMARY-CP0636389GBP,BOOKER LIMITED NEWTON ABB,76.01,0,Catering and Catering Supplies,Caterers
31/10/2016,DECOY PRIMARY-CP0636389GBP,TESCO STORE 2920,74.3,0,General Retail and Wholesale,Grocery stores
