Transaction Date,Local Authority Establishment,Benificiary (Merchant),Amount,Unrecoverable VAT,Expenditure Purpose,Merchant Category
23/07/2015,D C C - BIDEFORD COLLEGE,Amazon UK Marketplace,130.8,0,Books and Periodicals,Book stores
23/07/2015,D C C - BIDEFORD COLLEGE,Amazon UK Retail,19.98,0,Mail Order / Direct Selling,Direct sales companies
23/07/2015,D C C - BIDEFORD COLLEGE,Amazon UK Retail,36.24,0,Mail Order / Direct Selling,Direct sales companies
24/07/2015,D C C - BIDEFORD COLLEGE,"Amazon Svcs Europe,SAR",8.08,0,Books and Periodicals,Book stores
24/07/2015,D C C - BIDEFORD COLLEGE,"Amazon Svcs Europe,SAR",60.2,0,Books and Periodicals,Book stores
25/07/2015,D C C - BIDEFORD COLLEGE,Amazon UK Marketplace,48.59,0,General Retail and Wholesale,Miscellaneous retail
28/07/2015,D C C - BIDEFORD COLLEGE,Amazon UK Marketplace,22.95,0,General Retail and Wholesale,Miscellaneous retail
28/07/2015,D C C - BIDEFORD COLLEGE,Amazon UK Marketplace,27.36,0,Books and Periodicals,Book stores
28/07/2015,D C C - BIDEFORD COLLEGE,Amazon UK Marketplace,74.22,0,General Retail and Wholesale,Miscellaneous retail
28/07/2015,D C C - BIDEFORD COLLEGE,IKEA ONLINE,86,0,General Retail and Wholesale,Misc. home furnishing
29/07/2015,D C C - BIDEFORD COLLEGE,"Amazon Svcs Europe,SAR",9.89,0,Books and Periodicals,Book stores
29/07/2015,D C C - BIDEFORD COLLEGE,Amazon UK Marketplace,1.11,0,General Retail and Wholesale,Miscellaneous retail
29/07/2015,D C C - BIDEFORD COLLEGE,Amazon UK Marketplace,8.45,0,General Retail and Wholesale,Miscellaneous retail
29/07/2015,D C C - BIDEFORD COLLEGE,Amazon UK Marketplace,10.98,0,Books and Periodicals,Book stores
29/07/2015,D C C - BIDEFORD COLLEGE,Amazon UK Retail,51.2,0,Mail Order / Direct Selling,Direct sales companies
29/07/2015,D C C - BIDEFORD COLLEGE,AMZ DigiQuick,14.99,0,Computer Equipment & Services,Computer network information services
30/07/2015,D C C - BIDEFORD COLLEGE,"Amazon Svcs Europe,SAR",38.85,0,Books and Periodicals,Book stores
30/07/2015,D C C - BIDEFORD COLLEGE,Amazon UK Marketplace,30.88,0,Books and Periodicals,Book stores
30/07/2015,D C C - BIDEFORD COLLEGE,Amazon UK Retail,63.48,0,Mail Order / Direct Selling,Direct sales companies
30/07/2015,D C C - BIDEFORD COLLEGE,AUTOGLASS,128.25,0,"Vehicles, Servicing and Spares",Automotive parts & accessories
2/8/2015,D C C - BIDEFORD COLLEGE,Amazon UK Marketplace,80.37,0,General Retail and Wholesale,Miscellaneous retail
3/8/2015,D C C - BIDEFORD COLLEGE,PAYPAL FANTRONIX,4.5,0,General Retail and Wholesale,Hardware stores
3/8/2015,D C C - BIDEFORD COLLEGE,WEB HOSTING,34.99,0,Computer Equipment & Services,Computer maintenance & repair
4/8/2015,D C C - BIDEFORD COLLEGE,WP-SCOACH ETICKET,-43,0,Travel - Air/Rail/Road,"Buses, charter & tour"
4/8/2015,D C C - BIDEFORD COLLEGE,WP-SCOACH ETICKET,43,0,Travel - Air/Rail/Road,"Buses, charter & tour"
5/8/2015,D C C - BIDEFORD COLLEGE,PAPERSTONE,123.58,0,"Office Stationery, Equipment and Supplies",Stationery & office supplies stores
9/8/2015,D C C - BIDEFORD COLLEGE,WP-SCOACH ETICKET,43,0,Travel - Air/Rail/Road,"Buses, charter & tour"
10/8/2015,D C C - BIDEFORD COLLEGE,WP-SCOACH ETICKET,-38,0,Travel - Air/Rail/Road,"Buses, charter & tour"
10/8/2015,D C C - BIDEFORD COLLEGE,WP-SCOACH ETICKET,43,0,Travel - Air/Rail/Road,"Buses, charter & tour"
15/08/2015,D C C - BIDEFORD COLLEGE,WP-SCOACH ETICKET,43,0,Travel - Air/Rail/Road,"Buses, charter & tour"
25/08/2015,D C C - BIDEFORD COLLEGE,PAYPAL MDLSOFTCOUK,96.8,0,Computer Equipment & Services,Computer software stores
25/08/2015,D C C - BIDEFORD COLLEGE,PAYPAL PURLFROSTLT,66.19,0,General Retail and Wholesale,Hardware stores
28/08/2015,D C C - BIDEFORD COLLEGE,Amazon UK Retail,6.39,0,Mail Order / Direct Selling,Direct sales companies
1/9/2015,D C C - BIDEFORD COLLEGE,Amazon UK Retail,-0.03,0,Mail Order / Direct Selling,Direct sales companies
3/9/2015,D C C - BIDEFORD COLLEGE,MONKEYOFFICE.CO.UK,20.65,0,"Office Stationery, Equipment and Supplies",Stationery & office supplies stores
4/9/2015,D C C - BIDEFORD COLLEGE,WP-SCOACH ETICKET,-38,0,Travel - Air/Rail/Road,"Buses, charter & tour"
4/9/2015,D C C - BIDEFORD COLLEGE,WP-SCOACH ETICKET,43,0,Travel - Air/Rail/Road,"Buses, charter & tour"
8/9/2015,D C C - BIDEFORD COLLEGE,PAYPAL BEADS2012TO,1.85,0,General Retail and Wholesale,Misc. clothing & accessory shops
8/9/2015,D C C - BIDEFORD COLLEGE,PAYPAL BSGA,18,0,Clubs/Associations/Organisations,Charitable organisations
8/9/2015,D C C - BIDEFORD COLLEGE,PAYPAL GOGNAENTERP,2.75,0,General Retail and Wholesale,Shoe shops
8/9/2015,D C C - BIDEFORD COLLEGE,PAYPAL JIANGYATING,3.29,0,General Retail and Wholesale,Misc. home furnishing
8/9/2015,D C C - BIDEFORD COLLEGE,PAYPAL MOONCHARMSL,2.79,0,General Retail and Wholesale,Antique shops
8/9/2015,D C C - BIDEFORD COLLEGE,PAYPAL SELECTBEADS,1.79,0,General Retail and Wholesale,Misc. clothing & accessory shops
8/9/2015,D C C - BIDEFORD COLLEGE,PAYPAL SHENZHENEST,4.39,0,General Retail and Wholesale,Variety stores
8/9/2015,D C C - BIDEFORD COLLEGE,WP-SCOACH ETICKET,250,0,Travel - Air/Rail/Road,"Buses, charter & tour"
9/9/2015,D C C - BIDEFORD COLLEGE,WP-SCOACH ETICKET,43,0,Travel - Air/Rail/Road,"Buses, charter & tour"
10/9/2015,D C C - BIDEFORD COLLEGE,Amazon UK Marketplace,5.28,0,General Retail and Wholesale,Miscellaneous retail
10/9/2015,D C C - BIDEFORD COLLEGE,PAYPAL CABLECRAFTL,10.34,0,Print and Advertising,Advertising services
11/9/2015,D C C - BIDEFORD COLLEGE,Amazon UK Marketplace,49.95,0,General Retail and Wholesale,Miscellaneous retail
11/9/2015,D C C - BIDEFORD COLLEGE,Amazon UK Retail,53.98,0,Mail Order / Direct Selling,Direct sales companies
12/9/2015,D C C - BIDEFORD COLLEGE,"Amazon Svcs Europe,SAR",74.75,0,Books and Periodicals,Book stores
14/09/2015,D C C - BIDEFORD COLLEGE,Amazon UK Marketplace,55.49,0,General Retail and Wholesale,Miscellaneous retail
14/09/2015,D C C - BIDEFORD COLLEGE,Amazon UK Retail,34.58,0,Mail Order / Direct Selling,Direct sales companies
15/09/2015,D C C - BIDEFORD COLLEGE,Amazon UK Marketplace,10.35,0,Books and Periodicals,Book stores
15/09/2015,D C C - BIDEFORD COLLEGE,BUS/WIFI TICKET,-38,0,Travel - Air/Rail/Road,"Buses, charter & tour"
15/09/2015,D C C - BIDEFORD COLLEGE,BUS/WIFI TICKET,43,0,Travel - Air/Rail/Road,"Buses, charter & tour"
15/09/2015,D C C - BIDEFORD COLLEGE,PAYPAL CLASSROOMSO,44,0,Training and Educational,Primary & secondary school
15/09/2015,D C C - BIDEFORD COLLEGE,PAYPAL ESPARES LTD,18.37,0,General Retail and Wholesale,Hardware stores
15/09/2015,D C C - BIDEFORD COLLEGE,PAYPAL HUTGROUPLIM,50.49,0,Miscellaneous Industrial/Commercial Supplies,Chemical products
15/09/2015,D C C - BIDEFORD COLLEGE,WWW.APPLIEDPRODUCTS.CO,444,0,Miscellaneous Industrial/Commercial Supplies,Misc Industrial supplies
15/09/2015,D C C - BIDEFORD COLLEGE,WWW.FURNITUREATWORK.CO,92.4,0,General Retail and Wholesale,Furniture & home furnishing
16/09/2015,D C C - BIDEFORD COLLEGE,Amazon UK Marketplace,46.75,0,General Retail and Wholesale,Miscellaneous retail
16/09/2015,D C C - BIDEFORD COLLEGE,Amazon UK Retail,19.57,0,Mail Order / Direct Selling,Direct sales companies
16/09/2015,D C C - BIDEFORD COLLEGE,JS ONLINE GROCERY,75.65,0,General Retail and Wholesale,Grocery stores
16/09/2015,D C C - BIDEFORD COLLEGE,PAYPAL CAKESTUFFLT,25.35,0,General Retail and Wholesale,"Gift, card & novelty shops"
17/09/2015,D C C - BIDEFORD COLLEGE,Amazon UK Marketplace,1.89,0,Books and Periodicals,Book stores
17/09/2015,D C C - BIDEFORD COLLEGE,Amazon UK Marketplace,4.17,0,General Retail and Wholesale,Miscellaneous retail
17/09/2015,D C C - BIDEFORD COLLEGE,Amazon UK Marketplace,5.2,0,General Retail and Wholesale,Miscellaneous retail
18/09/2015,D C C - BIDEFORD COLLEGE,Amazon UK Marketplace,3.94,0,General Retail and Wholesale,Miscellaneous retail
18/09/2015,D C C - BIDEFORD COLLEGE,ITUNES.COM/BILL,1.78,0,General Retail and Wholesale,Record shops
18/09/2015,D C C - BIDEFORD COLLEGE,ONLINE FABRICS UK,64.11,0,General Retail and Wholesale,Drapery & upholstery shops
19/09/2015,D C C - BIDEFORD COLLEGE,Amazon UK Retail,23.46,0,Mail Order / Direct Selling,Direct sales companies
22/09/2015,D C C - BIDEFORD COLLEGE,PAYPAL WILKORETAIL,154,0,Miscellaneous Industrial/Commercial Supplies,Chemical products
22/09/2015,D C C - BIDEFORD COLLEGE,UNIVBRISTOL ONLINE PAY,265,0,Training and Educational,Colleges & universities
23/09/2015,D C C - BIDEFORD COLLEGE,Amazon UK Retail,6.72,0,Mail Order / Direct Selling,Direct sales companies
23/09/2015,D C C - BIDEFORD COLLEGE,FGW WEBSALES,164,0,Travel - Air/Rail/Road,Passenger railways
24/09/2015,D C C - BIDEFORD COLLEGE,Amazon UK Marketplace,19.98,0,General Retail and Wholesale,Miscellaneous retail
24/09/2015,D C C - BIDEFORD COLLEGE,JS ONLINE GROCERY,46.85,0,General Retail and Wholesale,Grocery stores
29/09/2015,D C C - BIDEFORD COLLEGE,Amazon UK Retail,15.69,0,Mail Order / Direct Selling,Direct sales companies
30/09/2015,D C C - BIDEFORD COLLEGE,Amazon UK Marketplace,4.49,0,General Retail and Wholesale,Miscellaneous retail
30/09/2015,D C C - BIDEFORD COLLEGE,WWW 4OURHOUSE CO UK,171.18,0,Building Materials,Electrical parts & equipment
1/10/2015,D C C - BIDEFORD COLLEGE,"Amazon Svcs Europe,SAR",8.48,0,Books and Periodicals,Book stores
5/10/2015,D C C - BIDEFORD COLLEGE,KITRONIK LTD,30.78,0,Building Materials,Electrical parts & equipment
5/10/2015,D C C - BIDEFORD COLLEGE,PICAXE STORE,62.38,0,General Retail and Wholesale,Hardware stores
5/10/2015,D C C - BIDEFORD COLLEGE,PICAXE STORE,71.39,0,General Retail and Wholesale,Hardware stores
5/10/2015,D C C - BIDEFORD COLLEGE,THE BOOK PEOPLE,108.28,0,Books and Periodicals,Book stores
5/10/2015,D C C - BIDEFORD COLLEGE,WWW.ONDRIVES.COM,18.43,0,Mail Order / Direct Selling,Direct sales companies
6/10/2015,D C C - BIDEFORD COLLEGE,THE BOOK PEOPLE,3.99,0,Books and Periodicals,Book stores
7/10/2015,D C C - BIDEFORD COLLEGE,JS ONLINE GROCERY,43.92,0,General Retail and Wholesale,Grocery stores
8/10/2015,D C C - BIDEFORD COLLEGE,Amazon UK Retail,7.49,0,Mail Order / Direct Selling,Direct sales companies
8/10/2015,D C C - BIDEFORD COLLEGE,Amazon UK Retail,19.42,0,Mail Order / Direct Selling,Direct sales companies
8/10/2015,D C C - BIDEFORD COLLEGE,THE BOOK PEOPLE,6.99,0,Books and Periodicals,Book stores
9/10/2015,D C C - BIDEFORD COLLEGE,Amazon UK Retail,6.78,0,Mail Order / Direct Selling,Direct sales companies
9/10/2015,D C C - BIDEFORD COLLEGE,PAYPAL ABSOLUTEIND,5.25,0,Professional Services,Accountants & auditors
9/10/2015,D C C - BIDEFORD COLLEGE,PAYPAL CHAINSDIREC,27.5,0,Estate and Garden Services,Lawn & garden supply/nursery
9/10/2015,D C C - BIDEFORD COLLEGE,PAYPAL GOGNAENTERP,2.75,0,General Retail and Wholesale,Shoe shops
9/10/2015,D C C - BIDEFORD COLLEGE,PAYPAL HASLAMHALLP,10.95,0,Books and Periodicals,Book stores
9/10/2015,D C C - BIDEFORD COLLEGE,PAYPAL HH UK LTD,22.99,0,General Retail and Wholesale,Miscellaneous retail
9/10/2015,D C C - BIDEFORD COLLEGE,WWW.FIRSTSTOPSTATIONER,12.11,0,"Office Stationery, Equipment and Supplies",Stationery & office supplies stores
10/10/2015,D C C - BIDEFORD COLLEGE,Amazon UK Retail,-0.49,0,Mail Order / Direct Selling,Direct sales companies
13/10/2015,D C C - BIDEFORD COLLEGE,Amazon UK Marketplace,18.3,0,General Retail and Wholesale,Miscellaneous retail
13/10/2015,D C C - BIDEFORD COLLEGE,JS ONLINE GROCERY,45.69,0,General Retail and Wholesale,Grocery stores
14/10/2015,D C C - BIDEFORD COLLEGE,Amazon UK Marketplace,9.99,0,General Retail and Wholesale,Miscellaneous retail
15/10/2015,D C C - BIDEFORD COLLEGE,Amazon UK Marketplace,1.89,0,General Retail and Wholesale,Miscellaneous retail
15/10/2015,D C C - BIDEFORD COLLEGE,Amazon UK Retail,10,0,Mail Order / Direct Selling,Direct sales companies
15/10/2015,D C C - BIDEFORD COLLEGE,Amazon UK Retail,50,0,Mail Order / Direct Selling,Direct sales companies
15/10/2015,D C C - BIDEFORD COLLEGE,Amazon UK Retail,195,0,Mail Order / Direct Selling,Direct sales companies
15/10/2015,D C C - BIDEFORD COLLEGE,PAYPAL MOBILEFUN,-5,0,Telecommunication Services,Phone equipment & sales
15/10/2015,D C C - BIDEFORD COLLEGE,PAYPAL MOBILEFUN,60,0,Telecommunication Services,Phone equipment & sales
15/10/2015,D C C - BIDEFORD COLLEGE,SMALLRIDGES,30.95,0,Estate and Garden Services,Florists
16/10/2015,D C C - BIDEFORD COLLEGE,"Amazon Svcs Europe,SAR",2.91,0,Books and Periodicals,Book stores
16/10/2015,D C C - BIDEFORD COLLEGE,Amazon UK Retail,18.86,0,Mail Order / Direct Selling,Direct sales companies
17/10/2015,D C C - BIDEFORD COLLEGE,Amazon UK Retail,4.79,0,Mail Order / Direct Selling,Direct sales companies
