Transaction Date,Local Authority Establishment,Benificiary (Merchant),Amount,Unrecoverable VAT,Expenditure Purpose,Merchant Category
22/06/2020,DCC-CHILDRENS SOC-CP0762919GBP,GEN REGISTER OFFICE,-29.50,0.00,Statutory Bodies,Government services
29/06/2020,DCC-CHILDRENS SOC-CP0762919GBP,GEN REGISTER OFFICE,-29.50,0.00,Statutory Bodies,Government services
06/07/2020,DCC COURT OF PROTECT-C 0509893,CURRYS ONLINE,-69.01,0.00,General Retail and Wholesale,Electronics shops
07/07/2020,DCC TEIGNBRIDGE-CP0684146GBP,GEN REGISTER OFFICE,-33.00,0.00,Statutory Bodies,Government services
09/07/2020,DCC TEIGNBRIDGE-CP0684146GBP,GEN REGISTER OFFICE,-18.50,0.00,Statutory Bodies,Government services
17/07/2020,DCC-CHILDRENS SOC-CP0762919GBP,WWW.THEWORKS.CO.UK,19.99,0.00,General Retail and Wholesale,Discount stores
17/07/2020,DCC-CHILDRENS SOC-CP0762919GBP,WWW.THEWORKS.CO.UK,48.50,0.00,General Retail and Wholesale,Discount stores
17/07/2020,DCC-CHILDRENS SOC-CP0762919GBP,WWW.THEWORKS.CO.UK,21.99,0.00,General Retail and Wholesale,Discount stores
21/07/2020,DCC - TOTNES DIST-CP0666223GBP,GEN REGISTER OFFICE,-29.50,0.00,Statutory Bodies,Government services
22/07/2020,DCC GT TORRINGTON-CP0715578GBP,PAYPAL  WORKSSTORES,25.99,0.00,General Retail and Wholesale,Discount stores
22/07/2020,DECOY PRIMARY-CP0636389GBP,EBUYER (UK) LTD,122.01,0.00,General Retail and Wholesale,Household appliance stores
23/07/2020,DCC - CAREY FEDER-CP0687759GBP,WWW.CORAMLIFEEDUCATIO.,345.00,0.00,Training and Educational,Schools
23/07/2020,DCC - ST ANDREWS-CP0687779GBP,AMAZON.CO.UK R32V57TF5 AM,13.33,0.00,General Retail and Wholesale,Miscellaneous retail
23/07/2020,DCC - TOTNES DIST-CP0666223GBP,EAST BEACH HOTEL,100.00,0.00,Hotels and Accommodation,"Hotels, motels & resorts"
23/07/2020,DCC BEACON PRIM-CP0677493GBP,WWW.BLACKWELL.CO.UK,27.96,0.00,"Office Stationery, Equipment and Supplies",Stationery & office supplies stores
23/07/2020,DCC BRANSCOMBE-CP0687800GBP,HIGHSPEEDTRAINING.CO.U,72.00,0.00,Training and Educational,Business/secretarial school
23/07/2020,DCC COURT OF PROTECT-C 0509893,ARGOS LTD,188.94,0.00,General Retail and Wholesale,Discount stores
23/07/2020,DCC COURT OF PROTECT-C 0509893,CURRYS ONLINE,244.99,0.00,General Retail and Wholesale,Electronics shops
23/07/2020,DCC COURT OF PROTECT-C 0509893,MID DEVON DC MOTO,44.00,0.00,Statutory Bodies,Government services
23/07/2020,DCC EAST DEVON LEARN DISB SERV,HOMEBASE LTD,87.99,0.00,General Retail and Wholesale,Home supply warehouse stores
23/07/2020,DCC EAST DEVON LEARN DISB SERV,TESCO STORE 2679,32.43,0.00,General Retail and Wholesale,Grocery stores
23/07/2020,DCC EXETER CHILD-CP0714942GBP,IKEA LTD 548 EXETER MAIN,79.00,0.00,General Retail and Wholesale,Furniture & home furnishing
23/07/2020,DCC HAYWARDS PSC-CP0706018GBP,Amazon.co.uk V00J104E5,19.99,0.00,Mail Order / Direct Selling,Direct sales companies
23/07/2020,DCC KING EDWARD VI COMMUNITY C,Amazon.co.uk NI5WA14Q5,669.00,0.00,Mail Order / Direct Selling,Direct sales companies
23/07/2020,DCC KING EDWARD VI COMMUNITY C,Amazon.co.uk VX24S77N5,400.00,0.00,Mail Order / Direct Selling,Direct sales companies
23/07/2020,DCC MAPLETON RES-CP0687802GBP,ASDA STORES LTD 5762,33.00,0.00,General Retail and Wholesale,Grocery stores
23/07/2020,DCC MAPLETON RES-CP0687802GBP,WILKO RETAIL LIMITED,10.00,0.00,General Retail and Wholesale,Misc. general merchandise
23/07/2020,DCC SOUTH MOLTON COMMUNITY COL,AMZNMktplace,99.99,0.00,General Retail and Wholesale,Miscellaneous retail
23/07/2020,DCC ST SIDWELL-CP0691289GBP,WWW.UKTOOLBOX.COM,299.94,0.00,General Retail and Wholesale,Hardware stores
23/07/2020,DCC TAVISTOCK-CP0685672GBP,AMZNMktplace,23.48,0.00,General Retail and Wholesale,Miscellaneous retail
23/07/2020,DCC TEIGNBRIDGE-CP0684146GBP,ARGOS LTD,146.95,0.00,General Retail and Wholesale,Discount stores
23/07/2020,DCC TEIGNBRIDGE-CP0684146GBP,TRAVELODGE GB0000,91.53,0.00,Hotels and Accommodation,Travelodge
23/07/2020,DCC TEIGNBRIDGE-CP0684146GBP,PREMIER INN44529310,232.46,0.00,Hotels and Accommodation,Premier Inn
23/07/2020,DCC TEIGNBRIDGE-CP0684146GBP,GEN REGISTER OFFICE,25.00,0.00,Statutory Bodies,Government services
23/07/2020,DCC TEIGNBRIDGE-CP0684146GBP,GEN REGISTER OFFICE,14.00,0.00,Statutory Bodies,Government services
23/07/2020,DCC TIVERTON HIGH-CP0686203GBP,SCREWFIX DIRECT,33.60,0.00,General Retail and Wholesale,Home supply warehouse stores
23/07/2020,DCC TIVERTON HIGH-CP0686203GBP,WILKO.COM,79.50,0.00,General Retail and Wholesale,Misc. general merchandise
23/07/2020,DCC TIVERTON HIGH-CP0686203GBP,PAYPAL  LINQI0617,195.40,0.00,General Retail and Wholesale,Electronics shops
23/07/2020,DCC TIVERTON HIGH-CP0686203GBP,AMZNMktplace,28.98,0.00,General Retail and Wholesale,Miscellaneous retail
23/07/2020,DCC TIVERTON HIGH-CP0686203GBP,AMZNMktplace,19.97,0.00,General Retail and Wholesale,Miscellaneous retail
23/07/2020,DCC TIVERTON HIGH-CP0686203GBP,Amazon.co.uk I38ZG6AK5,21.99,0.00,Mail Order / Direct Selling,Direct sales companies
23/07/2020,DCC TOTNES FULLFILLING LIVES S,AMZNMktplace,32.28,0.00,General Retail and Wholesale,Miscellaneous retail
23/07/2020,DCC TOTNES FULLFILLING LIVES S,AMZNMktplace,0.99,0.00,General Retail and Wholesale,Miscellaneous retail
23/07/2020,DCC UNITED SCH-CP0691296GBP,PAYPAL  THREEPEAKS,42.00,0.00,General Retail and Wholesale,Shoe shops
23/07/2020,DCC WEST BERRY FE-CP0691442GBP,AMZNMktplace,7.79,0.00,General Retail and Wholesale,Miscellaneous retail
23/07/2020,DCC WHITCHURCH - C 0559309,AMZNMktplace,13.75,0.00,General Retail and Wholesale,Miscellaneous retail
23/07/2020,DCC WHITCHURCH - C 0559309,AMZNMktplace,15.76,0.00,General Retail and Wholesale,Miscellaneous retail
23/07/2020,DCC-BARNES CHILDR-CP0770656GBP,WM MORRISONS STORE PICK,74.50,0.00,General Retail and Wholesale,Grocery stores
23/07/2020,DCC-BOVEY TRACEY-CP0690181GBP,TEIGNBRIDGE DC,120.00,0.00,Statutory Bodies,Government services
23/07/2020,DCC-CHILDRENS SOC-CP0762919GBP,GEN REGISTER OFFICE,35.00,0.00,Statutory Bodies,Government services
23/07/2020,DCC-DCS CHILDREN-CP0768819GBP,SP   DIVAN BASE DIRECT,475.75,0.00,General Retail and Wholesale,Men & womens clothing shops
23/07/2020,DCC-EXETER PHN BS-CP0770676GBP,AMZNMktplace,26.51,0.00,General Retail and Wholesale,Miscellaneous retail
23/07/2020,DCC-EXETER YOUTH-CP0766321GBP,AMZNMKTPLACE AMAZON.CO.UK,103.46,0.00,General Retail and Wholesale,Miscellaneous retail
