Transaction Date,Local Authority Establishment,Benificiary (Merchant),Amount,Unrecoverable VAT,Expenditure Purpose,Merchant Category
24/01/2019,BERE ALSTON PRIM-CP0685610GBP,SCREWFIX DIRECT,189.86,0.00,Building Materials,Timber & building supplies
28/01/2019,BERE ALSTON PRIM-CP0685610GBP,ASDA GROCERIES ONLINE,45.36,0.00,General Retail and Wholesale,Grocery stores
29/01/2019,BERE ALSTON PRIM-CP0685610GBP,AMZN Mktp UK MI5SV2CX4,14.99,0.00,Books and Periodicals,Book stores
30/01/2019,BERE ALSTON PRIM-CP0685610GBP,Amazon.co.uk MI6R18O24,7.92,0.00,Mail Order / Direct Selling,Direct sales companies
04/02/2019,BERE ALSTON PRIM-CP0685610GBP,ASDA GROCERIES ONLINE,37.87,0.00,General Retail and Wholesale,Grocery stores
23/01/2019,BOW PRIMARY SCH-CP0728252GBP,Amazon.co.uk MB1XC47S4,40.68,0.00,Mail Order / Direct Selling,Direct sales companies
23/01/2019,BOW PRIMARY SCH-CP0728252GBP,Amazon.co.uk MB6XY97G4,88.85,0.00,Mail Order / Direct Selling,Direct sales companies
23/01/2019,BOW PRIMARY SCH-CP0728252GBP,Amazon.co.uk MB9R427V4,88.85,0.00,Mail Order / Direct Selling,Direct sales companies
24/01/2019,BOW PRIMARY SCH-CP0728252GBP,HP INC UK LIMITED,1.99,0.00,Computer Equipment & Services,"Computers, peripherals & software"
06/02/2019,BOW PRIMARY SCH-CP0728252GBP,AMZ Amazon.co.uk,-9.79,0.00,Mail Order / Direct Selling,Direct sales companies
07/02/2019,BOW PRIMARY SCH-CP0728252GBP,POST OFFICE COUNTER,15.00,0.00,Mail and Courier Services,Postal services
09/02/2019,BOW PRIMARY SCH-CP0728252GBP,HP INC UK LIMITED,7.99,0.00,Computer Equipment & Services,"Computers, peripherals & software"
12/02/2019,BOW PRIMARY SCH-CP0728252GBP,AMZ Amazon.co.uk,-19.58,0.00,Mail Order / Direct Selling,Direct sales companies
14/02/2019,BOW PRIMARY SCH-CP0728252GBP,APPLE ONLINE STORE GBP,50.00,0.00,General Retail and Wholesale,Electronics shops
21/02/2019,BOW PRIMARY SCH-CP0728252GBP,HP INC UK LIMITED,7.99,0.00,Computer Equipment & Services,"Computers, peripherals & software"
05/02/2019,CASTLE PRIMARY-CP0728262GBP,POST OFFICE COUNTER,13.80,0.00,Mail and Courier Services,Postal services
06/02/2019,CASTLE PRIMARY-CP0728262GBP,EGRESS SWITCH,96.00,0.00,Computer Equipment & Services,Computer software stores
06/02/2019,CASTLE PRIMARY-CP0728262GBP,WWW.PRESTIGEFLOWERS.CO.U,21.60,0.00,Estate and Garden Services,Florist supplies & nursery stock
23/01/2019,CHUDLEIGH-CP0685924GBP,ASDA GROCERIES ONLINE,113.68,0.00,General Retail and Wholesale,Grocery stores
23/01/2019,CHUDLEIGH-CP0685924GBP,ASDA GROCERIES ONLINE,-5.00,0.00,General Retail and Wholesale,Grocery stores
25/01/2019,CHUDLEIGH-CP0685924GBP,WWW.BRITISH-GYMNASTICS,66.30,0.00,General Retail and Wholesale,Misc. general merchandise
29/01/2019,CHUDLEIGH-CP0685924GBP,ALDI 49 780,18.54,0.00,General Retail and Wholesale,Grocery stores
