Transaction Date,Local Authority Establishment,Benificiary (Merchant),Amount,Unrecoverable VAT,Expenditure Purpose,Merchant Category
17/08/2017,BERE ALSTON PRIM-CP0685610GBP,Amazon UK Retail,124.74,0.00,Mail Order / Direct Selling,Direct sales companies
13/08/2017,CHUDLEIGH-CP0685924GBP,SERENATA FLOWERS,19.99,0.00,Estate and Garden Services,Florists
24/07/2017,COUNTESS WEAR PRI-CP0681219GBP,ALDI,35.02,0.00,General Retail and Wholesale,Grocery stores
24/07/2017,COUNTESS WEAR PRI-CP0681219GBP,Amazon UK Marketplace,26.90,0.00,General Retail and Wholesale,Miscellaneous retail
24/07/2017,D C C WESTCROFT JUNIOR SCHOOL,WWW.CKB.UK.COM,24.50,0.00,General Retail and Wholesale,"Gift, card & novelty shops"
25/07/2017,D C C WESTCROFT JUNIOR SCHOOL,AMAZON.CO.UK,22.00,0.00,General Retail and Wholesale,Miscellaneous retail
28/07/2017,D C C WESTCROFT JUNIOR SCHOOL,WATERSTONES.COM,20.72,0.00,Books and Periodicals,Book stores
03/08/2017,D C C WESTCROFT JUNIOR SCHOOL,MOUNTAIN WAREHOUSE,119.97,0.00,General Retail and Wholesale,Men & womens clothing shops
21/07/2017,DCC - DAWLISH CC-CP0689084GBP,DIRECTPARTS.CO.UK,18.60,0.00,"Vehicles, Servicing and Spares",Motor vehicle supplies & parts
26/07/2017,DCC - DAWLISH CC-CP0689084GBP,EBM ASSET MANA PLC,270.00,0.00,"Office Stationery, Equipment and Supplies",Stationery & office supplies stores
26/07/2017,DCC - DAWLISH CC-CP0689084GBP,COMPANIES HOUSE,13.00,0.00,Statutory Bodies,Government services
31/07/2017,DCC - DAWLISH CC-CP0689084GBP,WWW.PEGASUSUK.COM,428.40,0.00,General Retail and Wholesale,Misc. clothing & accessory shops
19/08/2017,DCC - DAWLISH CC-CP0689084GBP,PIZZA HUT ONLINE WEB,31.56,0.00,Restaurants and Bars,Restaurants
19/08/2017,DCC - DAWLISH CC-CP0689084GBP,PIZZA HUT ONLINE WEB,43.39,0.00,Restaurants and Bars,Restaurants
27/07/2017,DCC  EMERGENCY DU-CP0689083GBP,CEDAR LODGE HOTEL,105.00,0.00,Hotels and Accommodation,"Hotels, motels & resorts"
08/08/2017,DCC - LANDSCORE PRIMARY SCH,SOMERSET COUNTY CRICKE,-170.00,0.00,Leisure Activities,"Member clubs, sport, recreation & golf"
08/08/2017,DCC - LANDSCORE PRIMARY SCH,Amazon Prime,7.99,0.00,Mail Order / Direct Selling,Continuous subscriptions
22/07/2017,DCC - LYMPSTONE P-CP0691281GBP,WWW.STAPLES.CO.UK,644.40,0.00,"Office Stationery, Equipment and Supplies",Stationery & office supplies stores
24/07/2017,DCC - OKEHAMPTON-CP0687688GBP,MARTIN MCCOLL'S,10.00,0.00,Catering and Catering Supplies,Misc Food stores
04/08/2017,DCC - OKEHAMPTON-CP0687688GBP,Amazon UK Marketplace,15.05,0.00,Books and Periodicals,Book stores
04/08/2017,DCC - OKEHAMPTON-CP0687688GBP,Amazon UK Marketplace,51.60,0.00,General Retail and Wholesale,Miscellaneous retail
04/08/2017,DCC - OKEHAMPTON-CP0687688GBP,WWW.NISBETS.COM,434.38,0.00,Mail Order / Direct Selling,Catalogue sales
04/08/2017,DCC - OKEHAMPTON-CP0687688GBP,WWW.NISBETS.COM,3.00,0.00,Mail Order / Direct Selling,Catalogue sales
05/08/2017,DCC - OKEHAMPTON-CP0687688GBP,Amazon UK Marketplace,20.80,0.00,Books and Periodicals,Book stores
06/08/2017,DCC - OKEHAMPTON-CP0687688GBP,Amazon UK Marketplace,64.95,0.00,General Retail and Wholesale,Miscellaneous retail
08/08/2017,DCC - OKEHAMPTON-CP0687688GBP,Amazon UK Marketplace,13.60,0.00,General Retail and Wholesale,Miscellaneous retail
08/08/2017,DCC - OKEHAMPTON-CP0687688GBP,AMAZON.CO.UK,81.69,0.00,General Retail and Wholesale,Miscellaneous retail
08/08/2017,DCC - OKEHAMPTON-CP0687688GBP,Amazon UK Marketplace,27.44,0.00,General Retail and Wholesale,Miscellaneous retail
09/08/2017,DCC - OKEHAMPTON-CP0687688GBP,Amazon UK Marketplace,20.37,0.00,Books and Periodicals,Book stores
09/08/2017,DCC - OKEHAMPTON-CP0687688GBP,Amazon UK Marketplace,6.20,0.00,General Retail and Wholesale,Miscellaneous retail
24/07/2017,DCC - ST ANDREWS-CP0687779GBP,WP-IEE EVENTS,180.00,0.00,Clubs/Associations/Organisations,Membership organisations
25/07/2017,DCC  STOKENHAM PR-CP0689085GBP,OTTER NURSERIES PL,700.00,0.00,Estate and Garden Services,Lawn & garden supply/nursery
26/07/2017,DCC  STOKENHAM PR-CP0689085GBP,Amazon UK Marketplace,106.30,0.00,General Retail and Wholesale,Miscellaneous retail
13/07/2017,DCC - TOTNES DIST-CP0666223GBP,GRO HM PASSPORT OFFICE,-9.25,0.00,Statutory Bodies,Government services
18/07/2017,DCC - TOTNES DIST-CP0666223GBP,GRO HM PASSPORT OFFICE,-9.25,0.00,Statutory Bodies,Government services
25/07/2017,DCC - TOTNES DIST-CP0666223GBP,TVLICENSING.CO.UK,147.00,0.00,Professional Services,Consultants & public relation services
25/07/2017,DCC - TOTNES DIST-CP0666223GBP,FLYBE.COM   CDPREP,432.58,0.00,Travel - Air/Rail/Road,"Airlines, air carriers"
27/07/2017,DCC - TOTNES DIST-CP0666223GBP,TRAINLINE,34.02,0.00,Travel - Air/Rail/Road,Passenger railways
31/07/2017,DCC - TOTNES DIST-CP0666223GBP,CAPITAL CAR RENTAL,-285.00,0.00,Auto Rental,Car rental
31/07/2017,DCC - TOTNES DIST-CP0666223GBP,GRO HM PASSPORT OFFICE,83.25,0.00,Statutory Bodies,Government services
03/08/2017,DCC - TOTNES DIST-CP0666223GBP,TRAVELODGE GB0804,346.50,0.00,Hotels and Accommodation,Travelodge
03/08/2017,DCC - TOTNES DIST-CP0666223GBP,TVLICENSING.CO.UK,147.00,0.00,Professional Services,Consultants & public relation services
03/08/2017,DCC - TOTNES DIST-CP0666223GBP,GRO HM PASSPORT OFFICE,9.25,0.00,Statutory Bodies,Government services
04/08/2017,DCC - TOTNES DIST-CP0666223GBP,GRO HM PASSPORT OFFICE,9.25,0.00,Statutory Bodies,Government services
07/08/2017,DCC - TOTNES DIST-CP0666223GBP,TRAVELODGE GB0804,1228.50,0.00,Hotels and Accommodation,Travelodge
07/08/2017,DCC - TOTNES DIST-CP0666223GBP,WWW.TENPIN.CO.UK,23.30,0.00,Leisure Activities,"Member clubs, sport, recreation & golf"
08/08/2017,DCC - TOTNES DIST-CP0666223GBP,GRO HM PASSPORT OFFICE,9.25,0.00,Statutory Bodies,Government services
09/08/2017,DCC - TOTNES DIST-CP0666223GBP,FLYBE.COM   ESVWPW,239.97,0.00,Travel - Air/Rail/Road,"Airlines, air carriers"
17/08/2017,DCC - TOTNES DIST-CP0666223GBP,GRO HM PASSPORT OFFICE,9.25,0.00,Statutory Bodies,Government services
21/08/2017,DCC - TOTNES DIST-CP0666223GBP,TVLICENSING.CO.UK,147.00,0.00,Professional Services,Consultants & public relation services
21/08/2017,DCC - TOTNES DIST-CP0666223GBP,TRAINLINE,188.19,0.00,Travel - Air/Rail/Road,Passenger railways
21/07/2017,DCC - WEST EXMOOR-CP0691501GBP,Amazon UK Marketplace,24.99,0.00,Books and Periodicals,Book stores
21/07/2017,DCC - WEST EXMOOR-CP0691501GBP,Amazon UK Retail,45.98,0.00,Mail Order / Direct Selling,Direct sales companies
22/07/2017,DCC - WEST EXMOOR-CP0691501GBP,Amazon UK Marketplace,6.30,0.00,General Retail and Wholesale,Miscellaneous retail
11/08/2017,DCC - WEST EXMOOR-CP0691501GBP,Audible.co.uk,2.62,0.00,Mail Order / Direct Selling,Continuous subscriptions
18/08/2017,DCC - WEST EXMOOR-CP0691501GBP,EXMOOR ZOOLOGICAL PARK,102.00,0.00,Leisure Activities,Tourist attractions and exhibitions
18/08/2017,DCC - WEST EXMOOR-CP0691501GBP,FUNDERZONE,70.50,0.00,Leisure Activities,Sport & recreational camps
