Transaction Date,Local Authority Establishment,Benificiary (Merchant),Amount,Unrecoverable VAT,Expenditure Purpose,Merchant Category
03/06/2019,BERE ALSTON PRIM-CP0685610GBP,ASDA GROCERIES ONLINE,49.99,0.00,General Retail and Wholesale,Grocery stores
03/06/2019,BERE ALSTON PRIM-CP0685610GBP,ASDA GROCERIES ONLINE,-0.03,0.00,General Retail and Wholesale,Grocery stores
04/06/2019,BERE ALSTON PRIM-CP0685610GBP,AMAZON.CO.UK M67LE0CR4 AM,8.46,0.00,General Retail and Wholesale,Miscellaneous retail
07/06/2019,BERE ALSTON PRIM-CP0685610GBP,AMZNMktplace,23.38,0.00,General Retail and Wholesale,Miscellaneous retail
10/06/2019,BERE ALSTON PRIM-CP0685610GBP,AMZNMktplace,8.98,0.00,General Retail and Wholesale,Miscellaneous retail
10/06/2019,BERE ALSTON PRIM-CP0685610GBP,ASDA GROCERIES ONLINE,31.96,0.00,General Retail and Wholesale,Grocery stores
20/06/2019,BERE ALSTON PRIM-CP0685610GBP,AMZNMktplace,30.99,0.00,General Retail and Wholesale,Miscellaneous retail
25/05/2019,BOW PRIMARY SCH-CP0728252GBP,HP INC UK LIMITED,1.99,0.00,Computer Equipment & Services,"Computers, peripherals & software"
09/06/2019,BOW PRIMARY SCH-CP0728252GBP,HP INC UK LIMITED,7.99,0.00,Computer Equipment & Services,"Computers, peripherals & software"
10/06/2019,BOW PRIMARY SCH-CP0728252GBP,AMAZON.CO.UK M691H6Z04 AM,45.05,0.00,General Retail and Wholesale,Miscellaneous retail
11/06/2019,BOW PRIMARY SCH-CP0728252GBP,AMZNMKTPLACE AMAZON.CO.UK,3.23,0.00,General Retail and Wholesale,Miscellaneous retail
11/06/2019,BOW PRIMARY SCH-CP0728252GBP,AMZNMktplace,15.12,0.00,General Retail and Wholesale,Miscellaneous retail
11/06/2019,BOW PRIMARY SCH-CP0728252GBP,Amazon.co.uk M66TD7NY4,5.12,0.00,Mail Order / Direct Selling,Direct sales companies
12/06/2019,BOW PRIMARY SCH-CP0728252GBP,AMZNMKTPLACE AMAZON.CO.UK,9.99,0.00,General Retail and Wholesale,Miscellaneous retail
20/06/2019,BOW PRIMARY SCH-CP0728252GBP,HP INC UK LIMITED,7.99,0.00,Computer Equipment & Services,"Computers, peripherals & software"
24/05/2019,CASTLE PRIMARY-CP0728262GBP,TP TIVERTON,114.69,0.00,Building Materials,Timber & building supplies
24/05/2019,CASTLE PRIMARY-CP0728262GBP,TP TIVERTON,0.00,0.00,Building Materials,Timber & building supplies
24/05/2019,CASTLE PRIMARY-CP0728262GBP,TP TIVERTON,0.00,0.00,Building Materials,Timber & building supplies
24/05/2019,CASTLE PRIMARY-CP0728262GBP,TP TIVERTON,0.00,0.00,Building Materials,Timber & building supplies
24/05/2019,CASTLE PRIMARY-CP0728262GBP,TP TIVERTON,0.00,0.00,Building Materials,Timber & building supplies
24/05/2019,CASTLE PRIMARY-CP0728262GBP,TP TIVERTON,0.00,0.00,Building Materials,Timber & building supplies
24/05/2019,CASTLE PRIMARY-CP0728262GBP,TP TIVERTON,0.00,0.00,Building Materials,Timber & building supplies
24/05/2019,CASTLE PRIMARY-CP0728262GBP,TP TIVERTON,0.00,0.00,Building Materials,Timber & building supplies
24/05/2019,CASTLE PRIMARY-CP0728262GBP,DVSA,11.00,0.00,Statutory Bodies,Government services
24/05/2019,CHUDLEIGH-CP0685924GBP,AMZNMKTPLACE AMAZON.CO.UK,14.25,0.00,General Retail and Wholesale,Miscellaneous retail
24/05/2019,CHUDLEIGH-CP0685924GBP,AMZNMKTPLACE AMAZON.CO.UK,30.20,0.00,General Retail and Wholesale,Miscellaneous retail
24/05/2019,CHUDLEIGH-CP0685924GBP,SAFETYSHOP,29.39,0.00,Miscellaneous Industrial/Commercial Supplies,Misc Durable goods
25/05/2019,CHUDLEIGH-CP0685924GBP,AMZNMKTPLACE AMAZON.CO.UK,4.11,0.00,General Retail and Wholesale,Miscellaneous retail
28/05/2019,CHUDLEIGH-CP0685924GBP,AMZNMKTPLACE AMAZON.CO.UK,6.80,0.00,General Retail and Wholesale,Miscellaneous retail
02/06/2019,CHUDLEIGH-CP0685924GBP,WWW.BRITISH-GYMNASTICS,52.74,0.00,General Retail and Wholesale,Misc. general merchandise
04/06/2019,CHUDLEIGH-CP0685924GBP,SERENATA FLOWERS,22.98,0.00,Estate and Garden Services,Florists
06/06/2019,CHUDLEIGH-CP0685924GBP,BCK JUSTATHLETE.COM,199.48,0.00,General Retail and Wholesale,Sporting goods shops
10/06/2019,CHUDLEIGH-CP0685924GBP,Amazon.co.uk M699V3NO4,59.94,0.00,Mail Order / Direct Selling,Direct sales companies
18/06/2019,CHUDLEIGH-CP0685924GBP,AMZNMktplace,3.90,0.00,General Retail and Wholesale,Miscellaneous retail
18/06/2019,CHUDLEIGH-CP0685924GBP,ASDA GROCERIES ONLINE,-9.01,0.00,General Retail and Wholesale,Grocery stores
18/06/2019,CHUDLEIGH-CP0685924GBP,ASDA GROCERIES ONLINE,129.91,0.00,General Retail and Wholesale,Grocery stores
18/06/2019,CHUDLEIGH-CP0685924GBP,Amazon.co.uk M66ZW11V4,13.45,0.00,Mail Order / Direct Selling,Direct sales companies
24/05/2019,COUNTESS WEAR PRI-CP0681219GBP,ALDI 49 780,7.90,0.00,General Retail and Wholesale,Grocery stores
29/05/2019,COUNTESS WEAR PRI-CP0681219GBP,TESCO DELIVERY SAVER1,6.99,0.00,General Retail and Wholesale,Grocery stores
07/06/2019,COUNTESS WEAR PRI-CP0681219GBP,ALDI 49 780,25.02,0.00,General Retail and Wholesale,Grocery stores
10/06/2019,COUNTESS WEAR PRI-CP0681219GBP,ROMAN GLASS LTD,118.32,0.00,General Retail and Wholesale,Glassware & crystal shops
10/06/2019,COUNTESS WEAR PRI-CP0681219GBP,TESCO STORE 2487,120.69,0.00,General Retail and Wholesale,Grocery stores
10/06/2019,COUNTESS WEAR PRI-CP0681219GBP,GRAFENIA PLC,36.00,0.00,Print and Advertising,Publishing & printing services
11/06/2019,COUNTESS WEAR PRI-CP0681219GBP,PAYPAL  CAIRNSMOIR,37.50,0.00,Training and Educational,Schools
12/06/2019,COUNTESS WEAR PRI-CP0681219GBP,POST OFFICE COUNTER,15.72,0.00,Mail and Courier Services,Postal services
12/06/2019,COUNTESS WEAR PRI-CP0681219GBP,POST OFFICE COUNTER,16.62,0.00,Mail and Courier Services,Postal services
17/06/2019,COUNTESS WEAR PRI-CP0681219GBP,TESCO STORE 2487,36.93,0.00,General Retail and Wholesale,Grocery stores
19/06/2019,COUNTESS WEAR PRI-CP0681219GBP,ONE STOP 1437,8.15,0.00,General Retail and Wholesale,Grocery stores
28/05/2019,CULLOMPTON COM CO-CP0727728GBP,PAYPAL  EXCALIBUR,1.99,0.00,General Retail and Wholesale,Electronics shops
28/05/2019,CULLOMPTON COM CO-CP0727728GBP,PAYPAL  X8R LTD,6.18,0.00,"Vehicles, Servicing and Spares",Automotive parts & accessories
12/06/2019,CULLOMPTON COM CO-CP0727728GBP,PAYPAL  IDCARDCENTR,13.80,0.00,General Retail and Wholesale,Electronics shops
13/06/2019,CULLOMPTON COM CO-CP0727728GBP,PAYPAL  EASTLANDTRA,29.32,0.00,General Retail and Wholesale,Misc. home furnishing
14/06/2019,CULLOMPTON COM CO-CP0727728GBP,PAYPAL  FALCONWORKS,5.99,0.00,General Retail and Wholesale,Hardware stores
20/06/2019,CULLOMPTON COM CO-CP0727728GBP,PAYPAL  WHSMITHHIGH,9.48,0.00,Books and Periodicals,Book stores
20/06/2019,CULLOMPTON COM CO-CP0727728GBP,LUCIDCHART.COM/CHARGE,126.73,0.00,Computer Equipment & Services,Computer software stores
23/05/2019,D C C WESTCROFT JUNIOR SCHOOL,AMZNMktplace,11.98,0.00,General Retail and Wholesale,Miscellaneous retail
24/05/2019,D C C WESTCROFT JUNIOR SCHOOL,SP   4TRONIX,26.40,0.00,Computer Equipment & Services,Computer software stores
30/05/2019,D C C WESTCROFT JUNIOR SCHOOL,AMZNMKTPLACE AMAZON.CO.UK,42.49,0.00,General Retail and Wholesale,Miscellaneous retail
06/06/2019,D C C WESTCROFT JUNIOR SCHOOL,AMAZON.CO.UK M66SA4FS4 AM,44.22,0.00,General Retail and Wholesale,Miscellaneous retail
07/06/2019,D C C WESTCROFT JUNIOR SCHOOL,AMZNMktplace,11.90,0.00,General Retail and Wholesale,Miscellaneous retail
07/06/2019,D C C WESTCROFT JUNIOR SCHOOL,AMZNMktplace,5.95,0.00,General Retail and Wholesale,Miscellaneous retail
10/06/2019,D C C WESTCROFT JUNIOR SCHOOL,AMAZON.CO.UK M67VD4ZF4 AM,52.80,0.00,General Retail and Wholesale,Miscellaneous retail
13/06/2019,D C C WESTCROFT JUNIOR SCHOOL,AMZNMktplace,9.97,0.00,General Retail and Wholesale,Miscellaneous retail
13/06/2019,D C C WESTCROFT JUNIOR SCHOOL,AMZNMktplace,4.25,0.00,General Retail and Wholesale,Miscellaneous retail
13/06/2019,D C C WESTCROFT JUNIOR SCHOOL,AMZNMktplace,5.98,0.00,General Retail and Wholesale,Miscellaneous retail
13/06/2019,D C C WESTCROFT JUNIOR SCHOOL,AMZNMktplace,5.95,0.00,General Retail and Wholesale,Miscellaneous retail
13/06/2019,D C C WESTCROFT JUNIOR SCHOOL,AMZNMktplace,6.20,0.00,General Retail and Wholesale,Miscellaneous retail
13/06/2019,D C C WESTCROFT JUNIOR SCHOOL,Amazon.co.uk M62WO1TK4,23.97,0.00,Mail Order / Direct Selling,Direct sales companies
14/06/2019,D C C WESTCROFT JUNIOR SCHOOL,AMZNMktplace,25.60,0.00,General Retail and Wholesale,Miscellaneous retail
14/06/2019,D C C WESTCROFT JUNIOR SCHOOL,AMZNMktplace,8.36,0.00,General Retail and Wholesale,Miscellaneous retail
