Transaction Date,Local Authority Establishment,Benificiary (Merchant),Amount,Unrecoverable VAT,Expenditure Purpose,Merchant Category
24/10/2015,D C C - BIDEFORD COLLEGE,ITUNES.COM/BILL,0.99,0,General Retail and Wholesale,Record shops
25/10/2015,D C C - BIDEFORD COLLEGE,Amazon UK Marketplace,17.42,0,Books and Periodicals,Book stores
26/10/2015,D C C - BIDEFORD COLLEGE,Amazon UK Marketplace,24.58,0,Books and Periodicals,Book stores
26/10/2015,D C C - BIDEFORD COLLEGE,Amazon UK Marketplace,27.8,0,General Retail and Wholesale,Miscellaneous retail
26/10/2015,D C C - BIDEFORD COLLEGE,LOVE2SHOP.CO.UK,10.99,0,Leisure Activities,"Civic, social & fraternal associations"
26/10/2015,D C C - BIDEFORD COLLEGE,PAPERSTONE,28.26,0,"Office Stationery, Equipment and Supplies",Stationery & office supplies stores
26/10/2015,D C C - BIDEFORD COLLEGE,PAYPAL MAPLIN,29.98,0,General Retail and Wholesale,Camera & photographic supply shop
26/10/2015,D C C - BIDEFORD COLLEGE,PAYPAL METALSUNITE,12.02,0,Miscellaneous Industrial/Commercial Supplies,Misc business services
26/10/2015,D C C - BIDEFORD COLLEGE,PAYPAL WEDORETAIL,23,0,General Retail and Wholesale,Camera & photographic supply shop
2/11/2015,D C C - BIDEFORD COLLEGE,Amazon UK Retail,13.79,0,Mail Order / Direct Selling,Direct sales companies
3/11/2015,D C C - BIDEFORD COLLEGE,JS ONLINE GROCERY,51.65,0,General Retail and Wholesale,Grocery stores
4/11/2015,D C C - BIDEFORD COLLEGE,Amazon UK Retail,12.98,0,Mail Order / Direct Selling,Direct sales companies
4/11/2015,D C C - BIDEFORD COLLEGE,Amazon UK Retail,27.11,0,Mail Order / Direct Selling,Direct sales companies
4/11/2015,D C C - BIDEFORD COLLEGE,WWW.MILLETS.CO.UK,53.49,0,General Retail and Wholesale,Sporting goods shops
5/11/2015,D C C - BIDEFORD COLLEGE,OUTPUTX,426,0,General Retail and Wholesale,Discount stores
10/11/2015,D C C - BIDEFORD COLLEGE,Amazon UK Marketplace,141,0,General Retail and Wholesale,Miscellaneous retail
10/11/2015,D C C - BIDEFORD COLLEGE,Amazon UK Retail,2.65,0,Mail Order / Direct Selling,Direct sales companies
10/11/2015,D C C - BIDEFORD COLLEGE,Amazon UK Retail,135.26,0,Mail Order / Direct Selling,Direct sales companies
10/11/2015,D C C - BIDEFORD COLLEGE,PAYPAL RECISIO KAR,1.99,0,Computer Equipment & Services,Computer network information services
10/11/2015,D C C - BIDEFORD COLLEGE,WWW.COLLECTPLUS.CO.UK,2.99,0,Mail and Courier Services,Courier services / freight forwarders
10/11/2015,D C C - BIDEFORD COLLEGE,WWW.DVLA.GOV.UK,167.5,0,Statutory Bodies,Government services
11/11/2015,D C C - BIDEFORD COLLEGE,Amazon UK Marketplace,41.99,0,Books and Periodicals,Book stores
11/11/2015,D C C - BIDEFORD COLLEGE,Amazon UK Marketplace,42.95,0,Books and Periodicals,Book stores
11/11/2015,D C C - BIDEFORD COLLEGE,Amazon UK Retail,79.62,0,Mail Order / Direct Selling,Direct sales companies
11/11/2015,D C C - BIDEFORD COLLEGE,ARGOS RETAIL GROUP,51.94,0,General Retail and Wholesale,Discount stores
11/11/2015,D C C - BIDEFORD COLLEGE,PAYPAL 11 STARS UK,4.5,0,General Retail and Wholesale,Variety stores
11/11/2015,D C C - BIDEFORD COLLEGE,PAYPAL ESPARES LTD,28.64,0,General Retail and Wholesale,Hardware stores
11/11/2015,D C C - BIDEFORD COLLEGE,PAYPAL HAN DE WEI,2.99,0,General Retail and Wholesale,Variety stores
11/11/2015,D C C - BIDEFORD COLLEGE,PAYPAL NORDICOUTDO,18.9,0,General Retail and Wholesale,Shoe shops
11/11/2015,D C C - BIDEFORD COLLEGE,PAYPAL PIMORONILTD,17,0,Computer Equipment & Services,"Programming, data processing & system design"
11/11/2015,D C C - BIDEFORD COLLEGE,PAYPAL RKONLINE,2.49,0,Training and Educational,Schools
12/11/2015,D C C - BIDEFORD COLLEGE,ALIBRIS BOOKS,7.07,0,Mail Order / Direct Selling,Direct sales companies
12/11/2015,D C C - BIDEFORD COLLEGE,Amazon UK Marketplace,1.15,0,Books and Periodicals,Book stores
12/11/2015,D C C - BIDEFORD COLLEGE,Amazon UK Marketplace,8.97,0,General Retail and Wholesale,Miscellaneous retail
12/11/2015,D C C - BIDEFORD COLLEGE,Amazon UK Marketplace,11.84,0,General Retail and Wholesale,Miscellaneous retail
12/11/2015,D C C - BIDEFORD COLLEGE,Amazon UK Marketplace,11.85,0,General Retail and Wholesale,Miscellaneous retail
12/11/2015,D C C - BIDEFORD COLLEGE,Amazon UK Marketplace,17.8,0,General Retail and Wholesale,Miscellaneous retail
12/11/2015,D C C - BIDEFORD COLLEGE,Amazon UK Marketplace,99.9,0,General Retail and Wholesale,Miscellaneous retail
12/11/2015,D C C - BIDEFORD COLLEGE,Amazon UK Retail,57.23,0,Mail Order / Direct Selling,Direct sales companies
12/11/2015,D C C - BIDEFORD COLLEGE,Amazon UK Retail,121.37,0,Mail Order / Direct Selling,Direct sales companies
12/11/2015,D C C - BIDEFORD COLLEGE,PAYPAL NORDICOUTDO,-3,0,General Retail and Wholesale,Shoe shops
12/11/2015,D C C - BIDEFORD COLLEGE,SKR AbeBooks.uk 3KX9NX,10.86,0,Books and Periodicals,Book stores
15/11/2015,D C C - BIDEFORD COLLEGE,WWW.MILLETS.CO.UK,-49.5,0,General Retail and Wholesale,Sporting goods shops
16/11/2015,D C C - BIDEFORD COLLEGE,Amazon UK Marketplace,10.95,0,General Retail and Wholesale,Miscellaneous retail
16/11/2015,D C C - BIDEFORD COLLEGE,Amazon UK Marketplace,12.96,0,Books and Periodicals,Book stores
18/11/2015,D C C - BIDEFORD COLLEGE,PAYPAL HAN DE WEI,-2.99,0,General Retail and Wholesale,Variety stores
18/11/2015,D C C - BIDEFORD COLLEGE,WWW.DVLA.GOV.UK,167.5,0,Statutory Bodies,Government services
19/11/2015,D C C - BIDEFORD COLLEGE,PAYPAL WORDERY,4.57,0,Books and Periodicals,Book stores
20/11/2015,D C C - BIDEFORD COLLEGE,Amazon UK Marketplace,9.28,0,General Retail and Wholesale,Miscellaneous retail
20/11/2015,D C C - BIDEFORD COLLEGE,Amazon UK Marketplace,30.21,0,General Retail and Wholesale,Miscellaneous retail
20/11/2015,D C C - BIDEFORD COLLEGE,GWR WEBSALES ECOM,30.4,0,Travel - Air/Rail/Road,Passenger railways
21/11/2015,D C C - BIDEFORD COLLEGE,Amazon UK Retail,20,0,Mail Order / Direct Selling,Direct sales companies
21/11/2015,D C C - BIDEFORD COLLEGE,Amazon UK Retail,36.94,0,Mail Order / Direct Selling,Direct sales companies
21/11/2015,D C C - BIDEFORD COLLEGE,Amazon UK Retail,57.35,0,Mail Order / Direct Selling,Direct sales companies
22/11/2015,D C C - BIDEFORD COLLEGE,Amazon UK Retail,33.49,0,Mail Order / Direct Selling,Direct sales companies
23/11/2015,D C C - BIDEFORD COLLEGE,ARGOS RETAIL GROUP,149.9,0,General Retail and Wholesale,Discount stores
23/11/2015,D C C - BIDEFORD COLLEGE,CURRYS ONLINE,100.87,0,General Retail and Wholesale,Electronics shops
24/11/2015,D C C - BIDEFORD COLLEGE,Amazon UK Marketplace,69.8,0,Books and Periodicals,Book stores
24/11/2015,D C C - BIDEFORD COLLEGE,Amazon UK Retail,-25.35,0,Mail Order / Direct Selling,Direct sales companies
24/11/2015,D C C - BIDEFORD COLLEGE,Amazon UK Retail,-20.68,0,Mail Order / Direct Selling,Direct sales companies
24/11/2015,D C C - BIDEFORD COLLEGE,Amazon UK Retail,-6.93,0,Mail Order / Direct Selling,Direct sales companies
24/11/2015,D C C - BIDEFORD COLLEGE,ARGOS DIRECT,-85.99,0,Mail Order / Direct Selling,Catalogue sales
24/11/2015,D C C - BIDEFORD COLLEGE,JS ONLINE GROCERY,50.4,0,General Retail and Wholesale,Grocery stores
24/11/2015,D C C - BIDEFORD COLLEGE,PAYPAL RAINBOWSTOR,10.08,0,General Retail and Wholesale,Misc. clothing & accessory shops
24/11/2015,D C C - BIDEFORD COLLEGE,TENNIS FOUNDATION,35,0,Leisure Activities,"Civic, social & fraternal associations"
25/11/2015,D C C - BIDEFORD COLLEGE,Amazon UK Marketplace,17.82,0,General Retail and Wholesale,Miscellaneous retail
25/11/2015,D C C - BIDEFORD COLLEGE,Amazon UK Marketplace,23.01,0,General Retail and Wholesale,Miscellaneous retail
25/11/2015,D C C - BIDEFORD COLLEGE,Amazon UK Retail,-84.96,0,Mail Order / Direct Selling,Direct sales companies
25/11/2015,D C C - BIDEFORD COLLEGE,Amazon UK Retail,13.98,0,Mail Order / Direct Selling,Direct sales companies
25/11/2015,D C C - BIDEFORD COLLEGE,PAPERSTONE,355.28,0,"Office Stationery, Equipment and Supplies",Stationery & office supplies stores
25/11/2015,D C C - BIDEFORD COLLEGE,PAYPAL INKMEDIALTD,31.88,0,Miscellaneous Industrial/Commercial Supplies,Chemical products
26/11/2015,D C C - BIDEFORD COLLEGE,Amazon UK Retail,15,0,Mail Order / Direct Selling,Direct sales companies
26/11/2015,D C C - BIDEFORD COLLEGE,Amazon UK Retail,32.5,0,Mail Order / Direct Selling,Direct sales companies
26/11/2015,D C C - BIDEFORD COLLEGE,ETSY.COM - OLIVERTWISTSFI,25.6,0,General Retail and Wholesale,Misc. clothing & accessory shops
26/11/2015,D C C - BIDEFORD COLLEGE,JS ONLINE GROCERY,98.5,0,General Retail and Wholesale,Grocery stores
26/11/2015,D C C - BIDEFORD COLLEGE,PAYPAL FOLKESTONEF,104,0,Miscellaneous Industrial/Commercial Supplies,Chemical products
26/11/2015,D C C - BIDEFORD COLLEGE,PAYPAL INKEXPRESS1,25.98,0,General Retail and Wholesale,Electronics shops
26/11/2015,D C C - BIDEFORD COLLEGE,PAYPAL SUPERDRUGST,10.37,0,General Retail and Wholesale,Cosmetic shops
26/11/2015,D C C - BIDEFORD COLLEGE,WWW.PCWB.COM,-11.98,0,Computer Equipment & Services,Computer software stores
26/11/2015,D C C - BIDEFORD COLLEGE,WWW.PCWB.COM,31.96,0,Computer Equipment & Services,Computer software stores
27/11/2015,D C C - BIDEFORD COLLEGE,Amazon UK Marketplace,2.28,0,General Retail and Wholesale,Miscellaneous retail
27/11/2015,D C C - BIDEFORD COLLEGE,Amazon UK Marketplace,36.24,0,General Retail and Wholesale,Miscellaneous retail
27/11/2015,D C C - BIDEFORD COLLEGE,Amazon UK Marketplace,42.38,0,General Retail and Wholesale,Miscellaneous retail
27/11/2015,D C C - BIDEFORD COLLEGE,Amazon UK Marketplace,293.22,0,General Retail and Wholesale,Miscellaneous retail
27/11/2015,D C C - BIDEFORD COLLEGE,Amazon UK Retail,18.8,0,Mail Order / Direct Selling,Direct sales companies
27/11/2015,D C C - BIDEFORD COLLEGE,Amazon UK Retail,20.04,0,Mail Order / Direct Selling,Direct sales companies
27/11/2015,D C C - BIDEFORD COLLEGE,Amazon UK Retail,99.96,0,Mail Order / Direct Selling,Direct sales companies
27/11/2015,D C C - BIDEFORD COLLEGE,DEWERSTONE LIMITED,78.95,0,General Retail and Wholesale,Men & womens clothing shops
27/11/2015,D C C - BIDEFORD COLLEGE,ONLINE FABRICS UK,145.74,0,General Retail and Wholesale,Drapery & upholstery shops
27/11/2015,D C C - BIDEFORD COLLEGE,PAYPAL CART SAVE,109.24,0,General Retail and Wholesale,Electronics shops
27/11/2015,D C C - BIDEFORD COLLEGE,PAYPAL PARCEL2GOCO,104.04,0,Print and Advertising,Advertising services
27/11/2015,D C C - BIDEFORD COLLEGE,WWW.SHOPFITTINGSUPPLIE,99,0,Miscellaneous Industrial/Commercial Supplies,Misc Industrial supplies
28/11/2015,D C C - BIDEFORD COLLEGE,Amazon UK Marketplace,162.22,0,General Retail and Wholesale,Miscellaneous retail
2/12/2015,D C C - BIDEFORD COLLEGE,"Amazon Svcs Europe,SAR",85.99,0,Books and Periodicals,Book stores
2/12/2015,D C C - BIDEFORD COLLEGE,GWR WEBSALES ECOM,85.15,0,Travel - Air/Rail/Road,Passenger railways
10/12/2015,D C C - BIDEFORD COLLEGE,GWR WEBSALES ECOM,16,0,Travel - Air/Rail/Road,Passenger railways
11/12/2015,D C C - BIDEFORD COLLEGE,Amazon UK Marketplace,8.55,0,General Retail and Wholesale,Miscellaneous retail
11/12/2015,D C C - BIDEFORD COLLEGE,Amazon UK Retail,15.96,0,Mail Order / Direct Selling,Direct sales companies
11/12/2015,D C C - BIDEFORD COLLEGE,JS ONLINE GROCERY,93.3,0,General Retail and Wholesale,Grocery stores
11/12/2015,D C C - BIDEFORD COLLEGE,USCUSTOMS ESTA APPL PMT,162.03,0,Statutory Bodies,Government services
14/12/2015,D C C - BIDEFORD COLLEGE,COMPANIES HOUSE,13,0,Statutory Bodies,Government services
15/12/2015,D C C - BIDEFORD COLLEGE,Amazon UK Retail,50,0,Mail Order / Direct Selling,Direct sales companies
15/12/2015,D C C - BIDEFORD COLLEGE,JS ONLINE GROCERY,99.5,0,General Retail and Wholesale,Grocery stores
17/12/2015,D C C - BIDEFORD COLLEGE,Amazon UK Retail,12.88,0,Mail Order / Direct Selling,Direct sales companies
12/1/2016,D C C - BIDEFORD COLLEGE,Amazon UK Retail,50,0,Mail Order / Direct Selling,Direct sales companies
12/1/2016,D C C - BIDEFORD COLLEGE,JS ONLINE GROCERY,48.75,0,General Retail and Wholesale,Grocery stores
13/01/2016,D C C - BIDEFORD COLLEGE,STAGECOACH SERVICE,250,0,Travel - Air/Rail/Road,"Buses, charter & tour"
14/01/2016,D C C - BIDEFORD COLLEGE,INST OF CON EDUCAT,70,0,Training and Educational,Colleges & universities
14/01/2016,D C C - BIDEFORD COLLEGE,PAYPAL GROUPONINTE,12.98,0,General Retail and Wholesale,Discount stores
14/01/2016,D C C - BIDEFORD COLLEGE,PAYPAL GROUPONINTE,12.98,0,General Retail and Wholesale,Discount stores
14/01/2016,D C C - BIDEFORD COLLEGE,PAYPAL GROUPONINTE,12.98,0,General Retail and Wholesale,Discount stores
14/01/2016,D C C - BIDEFORD COLLEGE,PAYPAL GROUPONINTE,12.98,0,General Retail and Wholesale,Discount stores
14/01/2016,D C C - BIDEFORD COLLEGE,PAYPAL GSPRODUCTSC,9.83,0,Miscellaneous Industrial/Commercial Supplies,Misc Durable goods
14/01/2016,D C C - BIDEFORD COLLEGE,PAYPAL HALFORDS,18.95,0,Miscellaneous Industrial/Commercial Supplies,Chemical products
14/01/2016,D C C - BIDEFORD COLLEGE,PAYPAL HALFORDS,34.39,0,Miscellaneous Industrial/Commercial Supplies,Chemical products
