Transaction Date,Local Authority Establishment,Benificiary (Merchant),Amount,Unrecoverable VAT,Expenditure Purpose,Merchant Category
04/02/2022,DCC - TOTNES DIST-CP0666223GBP,GEN REGISTER OFFICE,-7.50,0.00,Statutory Bodies,Government services
14/02/2022,DCC-ATKINSON UNIT-CP0630370GBP,BOOHOO.COM,-25.93,0.00,General Retail and Wholesale,Men & womens clothing shops
14/02/2022,DCC-ATKINSON UNIT-CP0630370GBP,BOOHOO.COM,-11.20,0.00,General Retail and Wholesale,Men & womens clothing shops
16/02/2022,DCC-ATKINSON UNIT-CP0630370GBP,BOOHOO.COM,-38.76,0.00,General Retail and Wholesale,Men & womens clothing shops
22/02/2022,DCC - TOTNES DIST-CP0666223GBP,GEN REGISTER OFFICE,14.00,0.00,Statutory Bodies,Government services
22/02/2022,DCC-COPPLESTONE-CP0695955GBP,DNH GODADDY.COM EUROPE,14.39,0.00,Computer Equipment & Services,Computer network information services
22/02/2022,DCC-COPPLESTONE-CP0695955GBP,DNH GODADDY.COM EUROPE,14.39,0.00,Computer Equipment & Services,Computer network information services
23/02/2022,DCC - TOTNES DIST-CP0666223GBP,AIR EXTREME TRAMPOLINE,15.00,0.00,Leisure Activities,Misc. recreational services
23/02/2022,DCC - TOTNES DIST-CP0666223GBP,AIR EXTREME TRAMPOLINE,41.00,0.00,Leisure Activities,Misc. recreational services
23/02/2022,DCC - TOTNES DIST-CP0666223GBP,TRAINLINE,72.60,0.00,Travel - Air/Rail/Road,Passenger railways
23/02/2022,DCC COURT OF PROTECT-C 0509893,AMZNMktplace,29.03,0.00,General Retail and Wholesale,Miscellaneous retail
23/02/2022,DCC COURT OF PROTECT-C 0509893,AMZNMktplace,46.39,0.00,General Retail and Wholesale,Miscellaneous retail
23/02/2022,DCC COURT OF PROTECT-C 0509893,Amazon.co.uk 2R3A24X64,99.00,0.00,Mail Order / Direct Selling,Direct sales companies
23/02/2022,DCC EXETER CHILD-CP0670651GBP,CS  TESCO STORES GC,1000.00,0.00,Miscellaneous Industrial/Commercial Supplies,Misc business services
23/02/2022,DCC HAZELDOWN-CP0682508GBP,AMZNMktplace,49.86,0.00,General Retail and Wholesale,Miscellaneous retail
23/02/2022,DCC KING EDWARD VI COMMUNITY C,AMZNMktplace,29.50,0.00,General Retail and Wholesale,Miscellaneous retail
23/02/2022,DCC KING EDWARD VI COMMUNITY C,AMZNMktplace,149.00,0.00,General Retail and Wholesale,Miscellaneous retail
23/02/2022,DCC LEARN DVN EXT-CP0707517GBP,PARCEL2GO.COM LTD,7.19,0.00,Mail and Courier Services,Courier services / freight forwarders
23/02/2022,DCC TEIGNBRIDGE-CP0684146GBP,thetrainline.com,24.26,0.00,Travel - Air/Rail/Road,Passenger railways
23/02/2022,DCC TEIGNBRIDGE-CP0684146GBP,thetrainline.com,56.14,0.00,Travel - Air/Rail/Road,Passenger railways
23/02/2022,DCC-BARNES CHILDR-CP0770656GBP,MERLIN CINEMAS,13.00,0.00,Leisure Activities,Cinemas
23/02/2022,DCC-NEW TREETOPS-CP0687057GBP,SHARKNINJA EUROPE,17.98,0.00,General Retail and Wholesale,Misc. home furnishing
23/02/2022,DCC-WELLAND HOUSE-CP0770668GBP,ARGOS LTD,32.99,0.00,General Retail and Wholesale,Discount stores
23/02/2022,DCC-WELLAND HOUSE-CP0770668GBP,ARGOS LTD,140.00,0.00,General Retail and Wholesale,Discount stores
23/02/2022,DCC-WELLAND HOUSE-CP0770668GBP,HOME BARGAINS,5.45,0.00,General Retail and Wholesale,Hardware stores
23/02/2022,ST MARYS PRIMARY-CP0727713GBP,Amazon Prime 2R1T68PA4,7.99,0.00,Mail Order / Direct Selling,Continuous subscriptions
24/02/2022,DCC - HILLCREST-CP0769859GBP,Amazon.co.uk 2R4AF35V4,42.22,0.00,Mail Order / Direct Selling,Direct sales companies
