Transaction Date,Local Authority Establishment,Benificiary (Merchant),Amount,Unrecoverable VAT,Expenditure Purpose,Merchant Category
23/01/2015,D C C - BIDEFORD COLLEGE,Amazon EU,-24.99,0,Mail Order / Direct Selling,Direct sales companies
23/01/2015,DCC-RATCLIFFE SCH-C- 0503860,Amazon EU,24.9,0,Mail Order / Direct Selling,Direct sales companies
23/01/2015,DCC ST PETERS - C 0559305,Amazon UK Marketplace,28.82,0,Books and Periodicals,Book stores
23/01/2015,DCC CHARLTON LODGE C0554043,TESCO STORES 5138,42,0,General Retail and Wholesale,Grocery stores
23/01/2015,DCC - DAVEY COURT - C 0467695,TESCO STORE 2487,60.3,0,General Retail and Wholesale,Grocery stores
23/01/2015,D C C - BIDEFORD COLLEGE,JS ONLINE GROCERY,76.15,0,General Retail and Wholesale,Grocery stores
23/01/2015,DCC-RATCLIFFE SCH-C- 0503860,Amazon Mktplce EU-UK,76.59,0,Books and Periodicals,Book stores
23/01/2015,DCC-RATCLIFFE SCH-C- 0503860,Amazon Mktplce EU-UK,115.92,0,Books and Periodicals,Book stores
24/01/2015,WEST EXE TECHNOLOGY COLLEGE,DISPUTE REFUND,-72,0,Computer Equipment & Services,Computer network information services
24/01/2015,DCC WHITCHURCH - C 0559309,Amazon UK Retail,21.99,0,Mail Order / Direct Selling,Direct sales companies
24/01/2015,DCC-RATCLIFFE SCH-C- 0503860,Amazon UK Retail,64.99,0,Mail Order / Direct Selling,Direct sales companies
24/01/2015,WEST EXE TECHNOLOGY COLLEGE,DISPUTE REFUND REVERSAL,72,0,Computer Equipment & Services,Computer network information services
24/01/2015,WEST EXE TECHNOLOGY COLLEGE,WP-SITEMAKERLIVE.COM,72,0,Computer Equipment & Services,Computer network information services
25/01/2015,DCC ST HORRABRIDGE-C 0514361,TESCO-STORES-6106,9,0,General Retail and Wholesale,Grocery stores
25/01/2015,DCC ST HORRABRIDGE-C 0514361,88 ORIENTAL SUPERMARKE,17.2,0,General Retail and Wholesale,Grocery stores
25/01/2015,WEST EXE TECHNOLOGY COLLEGE,"Amazon Svcs Europe,SAR",19.35,0,Books and Periodicals,Book stores
25/01/2015,DEVON COUNTY COUNCIL- MARLAND,Amazon UK Retail,19.73,0,Mail Order / Direct Selling,Direct sales companies
25/01/2015,DCC ST HORRABRIDGE-C 0514361,TESCO-STORES-6106,39.01,0,General Retail and Wholesale,Grocery stores
26/01/2015,DCC-SOUTH MOLTON INF-C0595442,Amazon Prime,-72.68,0,Mail Order / Direct Selling,Continuous subscriptions
26/01/2015,DCC WILLAND SCH-C 0509473,TESCO STORES 5663,-32.5,0,General Retail and Wholesale,Grocery stores
26/01/2015,DCC - ST ANDREWS PRI 0467693,CHRISTINGLE.ORG,-10,0,Clubs/Associations/Organisations,Charitable organisations
26/01/2015,DCC WHITCHURCH - C 0559309,"Amazon Svcs Europe,SAR",4.98,0,Books and Periodicals,Book stores
26/01/2015,DCC SWIMBRIDGE PRMRY SCHOOL-NO,B & M RETAIL,5.48,0,General Retail and Wholesale,Discount stores
26/01/2015,DCC ST PETERS - C 0559305,Amazon UK Retail,9.59,0,Mail Order / Direct Selling,Direct sales companies
26/01/2015,WEST EXE TECHNOLOGY COLLEGE,"Amazon Svcs Europe,SAR",11.78,0,Books and Periodicals,Book stores
26/01/2015,WEST EXE TECHNOLOGY COLLEGE,Amazon UK Retail,16.45,0,Mail Order / Direct Selling,Direct sales companies
26/01/2015,WEST EXE TECHNOLOGY COLLEGE,"Amazon Svcs Europe,SAR",22.98,0,Books and Periodicals,Book stores
26/01/2015,WEST EXE TECHNOLOGY COLLEGE,"Amazon Svcs Europe,SAR",38.48,0,Books and Periodicals,Book stores
26/01/2015,DCC CHARLTON LODGE C0554043,TESCO STORES 5138,54.65,0,General Retail and Wholesale,Grocery stores
26/01/2015,DEVON COUNTY COUNCIL- MARLAND,TESCO STORES 6269,59.07,0,General Retail and Wholesale,Grocery stores
26/01/2015,DCC SWIMBRIDGE PRMRY SCHOOL-NO,TESCO STORE 2083,81.09,0,General Retail and Wholesale,Grocery stores
26/01/2015,DCC WHITCHURCH - C 0559309,ASDA HOME SHOPPING,81.94,0,General Retail and Wholesale,Grocery stores
26/01/2015,WEST EXE TECHNOLOGY COLLEGE,Amazon UK Retail,83.5,0,Mail Order / Direct Selling,Direct sales companies
26/01/2015,DCC SOUTH MOLTON COMMUNITY COL,JACRO CINEMA SALES,113.75,0,Leisure Activities,Cinemas
26/01/2015,DCC-BASSETTS FARM PR 0487469,ASDA HOME SHOPPING,132.37,0,General Retail and Wholesale,Grocery stores
26/01/2015,D C C - BIDEFORD COLLEGE,WWW.GSPRODUCTS.CO.UK,165.59,0,Miscellaneous Industrial/Commercial Supplies,Misc Industrial supplies
26/01/2015,WEST EXE TECHNOLOGY COLLEGE,X L DISPLAYS LTD,411.6,0,Miscellaneous Industrial/Commercial Supplies,Misc Durable goods
26/01/2015,WEST EXE TECHNOLOGY COLLEGE,MERCURE SOUTHGATE HOTEL &,1760.3,0,Hotels and Accommodation,"Hotels, motels & resorts"
27/01/2015,DCC COCKWOOD P.SCH-0479007,ITUNES.COM/BILL,2.29,0,General Retail and Wholesale,Record shops
