Transaction Date,Local Authority Establishment,Benificiary (Merchant),Amount,Unrecoverable VAT,Expenditure Purpose,Merchant Category
13/01/2017,DCC - TOTNES DIST-CP0666223GBP,GRO HM PASSPORT OFFICE,-9.25,0.00,Statutory Bodies,Government services
23/01/2017,D C C WESTCROFT JUNIOR SCHOOL,WWW.ABOVEANABEYOND.CO.UK,58.44,0.00,Books and Periodicals,"Books, periodicals & newspapers"
23/01/2017,D C C WESTCROFT JUNIOR SCHOOL,WWW.BLACKS.CO.UK,165.75,0.00,General Retail and Wholesale,Sporting goods shops
23/01/2017,DCC COCKWOOD P.SCH-0479007,SAINSBURYS S/MKTS,22.45,0.00,General Retail and Wholesale,Grocery stores
23/01/2017,DCC COURT OF PROTECT-C 0509893,BENSONS FOR BEDS,400.00,0.00,General Retail and Wholesale,Furniture & home furnishing
23/01/2017,DCC WHITCHURCH - C 0559309,Amazon UK Marketplace,20.99,0.00,General Retail and Wholesale,Miscellaneous retail
23/01/2017,DCC WHITCHURCH - C 0559309,WM MORRISONS,7.62,0.00,General Retail and Wholesale,Grocery stores
23/01/2017,DCC-BASSETTS FARM PR 0487469,EB  SUPPORTING A CHILD,20.00,0.00,Miscellaneous Industrial/Commercial Supplies,Misc business services
23/01/2017,DECOY PRIMARY-CP0636389GBP,B & Q 1033,16.50,0.00,Building Materials,Timber & building supplies
23/01/2017,DECOY PRIMARY-CP0636389GBP,BOOKER LIMITED NEWTON ABB,65.96,0.00,Catering and Catering Supplies,Caterers
23/01/2017,DECOY PRIMARY-CP0636389GBP,TESCO STORE 2920,68.15,0.00,General Retail and Wholesale,Grocery stores
23/01/2017,DEVON COUNTY COUNCIL- MARLAND,TESCO STORES 6269,133.72,0.00,General Retail and Wholesale,Grocery stores
23/01/2017,WEST EXE TECHNOLOGY COLLEGE,Amazon UK Marketplace,21.50,0.00,General Retail and Wholesale,Miscellaneous retail
24/01/2017,D C C WESTCROFT JUNIOR SCHOOL,Amazon UK Marketplace,9.00,0.00,General Retail and Wholesale,Miscellaneous retail
24/01/2017,DCC - EXETER LEARNING DIS,WWW.BHMA.CO.UK,53.58,0.00,"Office Stationery, Equipment and Supplies",Stationery & office supplies stores
24/01/2017,DCC WILLAND SCH-C 0509473,TESCO STORES 5138,65.18,0.00,General Retail and Wholesale,Grocery stores
24/01/2017,DEVON COUNTY COUNCIL- MARLAND,Amazon UK Marketplace,9.29,0.00,General Retail and Wholesale,Miscellaneous retail
24/01/2017,DEVON COUNTY COUNCIL- MARLAND,Amazon UK Marketplace,2.80,0.00,General Retail and Wholesale,Miscellaneous retail
24/01/2017,DEVON COUNTY COUNCIL- MARLAND,AMAZON UK RETAIL AMAZON.C,14.97,0.00,General Retail and Wholesale,Miscellaneous retail
24/01/2017,DEVON COUNTY COUNCIL- MARLAND,Amazon UK Retail,18.97,0.00,Mail Order / Direct Selling,Direct sales companies
24/01/2017,DEVON COUNTY COUNCIL- MARLAND,Amazon UK Retail,5.99,0.00,Mail Order / Direct Selling,Direct sales companies
24/01/2017,DEVON COUNTY COUNCIL- MARLAND,EE & T-MOBILE,148.24,0.00,Telecommunication Services,Phone services
24/01/2017,WEST EXE TECHNOLOGY COLLEGE,ROYAL MAIL SAMEDAY,26.40,0.00,Mail and Courier Services,Postal services
25/01/2017,D C C WESTCROFT JUNIOR SCHOOL,Amazon UK Marketplace,24.73,0.00,General Retail and Wholesale,Miscellaneous retail
25/01/2017,DCC BOLHAM PRIMARY SCH 0474800,ITUNES.COM/BILL,0.99,0.00,General Retail and Wholesale,Record shops
25/01/2017,DCC LEASE DAY CENTRE,Amazon UK Marketplace,202.99,0.00,General Retail and Wholesale,Miscellaneous retail
25/01/2017,DCC PARK SCHOOL-CP0629582GBP,WWW.INSTANTPRINT.C,163.80,0.00,"Office Stationery, Equipment and Supplies",Photocopy & reproduction services
25/01/2017,DCC SWIMBRIDGE PRMRY SCHOOL-NO,STRINGSDIRECT.COUK,19.96,0.00,General Retail and Wholesale,Music stores & instruments
25/01/2017,DCC SWIMBRIDGE PRMRY SCHOOL-NO,VALUE HOUSE STORES LTD,60.23,0.00,General Retail and Wholesale,Grocery stores
25/01/2017,DCC WHITCHURCH - C 0559309,Amazon UK Retail,69.00,0.00,Mail Order / Direct Selling,Direct sales companies
25/01/2017,DCC-BARLEY LANE SCH-C0611313,WWW.NATIONAL-AQUARIUM.CO,43.80,0.00,Leisure Activities,Tourist attractions and exhibitions
25/01/2017,DCC-BASSETTS FARM PR 0487469,Amazon UK Marketplace,5.75,0.00,General Retail and Wholesale,Miscellaneous retail
25/01/2017,DCC-RATCLIFFE SCH-C- 0503860,Amazon UK Marketplace,10.40,0.00,Books and Periodicals,Book stores
25/01/2017,DCC-RATCLIFFE SCH-C- 0503860,Amazon UK Marketplace,30.22,0.00,Books and Periodicals,Book stores
25/01/2017,DCC-RATCLIFFE SCH-C- 0503860,B&Q DIRECT,136.72,0.00,Building Materials,Timber & building supplies
25/01/2017,DEVON COUNTY COUNCIL- MARLAND,Amazon UK Marketplace,6.72,0.00,Books and Periodicals,Book stores
25/01/2017,DEVON COUNTY COUNCIL- MARLAND,TESCO STORES 6269,47.04,0.00,General Retail and Wholesale,Grocery stores
25/01/2017,DEVON COUNTY COUNCIL- MARLAND,Amazon UK Retail,5.99,0.00,Mail Order / Direct Selling,Direct sales companies
25/01/2017,DEVON COUNTY COUNCIL- MARLAND,Amazon UK Retail,5.05,0.00,Mail Order / Direct Selling,Direct sales companies
25/01/2017,WEST EXE TECHNOLOGY COLLEGE,PAYPAL  CCC-SHOP,14.99,0.00,General Retail and Wholesale,Art & craft shops
26/01/2017,D C C WESTCROFT JUNIOR SCHOOL,Amazon UK Marketplace,75.95,0.00,Books and Periodicals,Book stores
26/01/2017,D C C WESTCROFT JUNIOR SCHOOL,Amazon UK Marketplace,11.42,0.00,General Retail and Wholesale,Miscellaneous retail
26/01/2017,D C C WESTCROFT JUNIOR SCHOOL,Amazon UK Retail,52.99,0.00,Mail Order / Direct Selling,Direct sales companies
26/01/2017,DCC EAST DEVON LEARN DISB SERV,TESCO STORES 5138,70.27,0.00,General Retail and Wholesale,Grocery stores
26/01/2017,DCC EXETER CHILD-CP0670651GBP,Amazon UK Marketplace,88.98,0.00,General Retail and Wholesale,Miscellaneous retail
26/01/2017,DCC EXETER CHILD-CP0670651GBP,WWW.PRECIOUSLITTLEONE.CO,58.99,0.00,General Retail and Wholesale,Children/infants shops
26/01/2017,DCC SWIMBRIDGE PRMRY SCHOOL-NO,Amazon UK Marketplace,10.48,0.00,General Retail and Wholesale,Miscellaneous retail
26/01/2017,DCC WILLAND SCH-C 0509473,CUBE INC LTD,2.97,0.00,Miscellaneous Industrial/Commercial Supplies,Misc commercial machines equipment
26/01/2017,DCC-BARLEY LANE SCH-C0611313,WWW.RHINOCABLES.CO.UK,83.07,0.00,General Retail and Wholesale,Household appliance stores
26/01/2017,DCC-BASSETTS FARM PR 0487469,ASDA HOME SHOPPING,165.50,0.00,General Retail and Wholesale,Grocery stores
26/01/2017,DCC-BASSETTS FARM PR 0487469,WWW.EXETER.AC.UK,35.00,0.00,Training and Educational,Colleges & universities
26/01/2017,DCC-RATCLIFFE SCH-C- 0503860,"Amazon Svcs Europe,SAR",9.85,0.00,Books and Periodicals,Book stores
26/01/2017,DCC-RATCLIFFE SCH-C- 0503860,Amazon UK Marketplace,16.48,0.00,Books and Periodicals,Book stores
26/01/2017,DCC-RATCLIFFE SCH-C- 0503860,Amazon UK Marketplace,13.39,0.00,Books and Periodicals,Book stores
26/01/2017,DCC-RATCLIFFE SCH-C- 0503860,Amazon UK Marketplace,22.75,0.00,Books and Periodicals,Book stores
26/01/2017,DCC-RATCLIFFE SCH-C- 0503860,Amazon UK Marketplace,2.70,0.00,Books and Periodicals,Book stores
26/01/2017,DCC-RATCLIFFE SCH-C- 0503860,Amazon UK Marketplace,5.98,0.00,Books and Periodicals,Book stores
26/01/2017,DCC-RATCLIFFE SCH-C- 0503860,Amazon UK Marketplace,59.10,0.00,General Retail and Wholesale,Miscellaneous retail
