Transaction Date,Local Authority Establishment,Benificiary (Merchant),Amount,Unrecoverable VAT,Expenditure Purpose,Merchant Category
08/04/2016,DCC WHITCHURCH - C 0559309,WM MORRISONS,145.23,0,General Retail and Wholesale,Grocery stores
18/04/2016,DCC WHITCHURCH - C 0559309,Amazon UK Marketplace,5,0,Books and Periodicals,Book stores
18/04/2016,DCC WHITCHURCH - C 0559309,Amazon UK Marketplace,4.42,0,General Retail and Wholesale,Miscellaneous retail
18/04/2016,DCC WHITCHURCH - C 0559309,Amazon UK Marketplace,5.87,0,General Retail and Wholesale,Miscellaneous retail
18/04/2016,DCC WHITCHURCH - C 0559309,POST OFFICE COUNTER,33.02,0,Mail and Courier Services,Postal services
19/04/2016,DCC WHITCHURCH - C 0559309,Amazon UK Retail,14,0,Mail Order / Direct Selling,Direct sales companies
20/04/2016,DCC WHITCHURCH - C 0559309,Amazon UK Retail,9.92,0,Mail Order / Direct Selling,Direct sales companies
21/04/2016,DCC WHITCHURCH - C 0559309,WM MORRISONS,5.36,0,General Retail and Wholesale,Grocery stores
22/04/2016,DCC WHITCHURCH - C 0559309,LIDL UK,3,0,General Retail and Wholesale,Grocery stores
24/04/2016,DCC-ATKINSON UNIT-CP0630370GBP,Amazon UK Retail,6.5,0,Mail Order / Direct Selling,Direct sales companies
25/04/2016,DCC - LANDSCORE PRIMARY SCH,Amazon Digital Dwnlds,4.99,0,General Retail and Wholesale,Record shops
25/04/2016,DCC - LANDSCORE PRIMARY SCH,Amazon Digital Dwnlds,5.99,0,General Retail and Wholesale,Record shops
25/04/2016,DCC KING EDWARD VI COMMUNITY C,"BLURB, INC.",41.57,0,Print and Advertising,Publishing & printing services
25/04/2016,DCC WILLAND SCH-C 0509473,Amazon UK Marketplace,3.95,0,Books and Periodicals,Book stores
25/04/2016,DCC WILLAND SCH-C 0509473,Amazon UK Marketplace,10.68,0,Books and Periodicals,Book stores
25/04/2016,DCC WILLAND SCH-C 0509473,TESCO STORES 5663,5,0,General Retail and Wholesale,Grocery stores
25/04/2016,DCC-BASSETTS FARM PR 0487469,ASDA HOME SHOPPING,169.28,0,General Retail and Wholesale,Grocery stores
25/04/2016,DCC-RATCLIFFE SCH-C- 0503860,Amazon UK Marketplace,5.63,0,Books and Periodicals,Book stores
25/04/2016,DCC-RATCLIFFE SCH-C- 0503860,Amazon UK Marketplace,6.23,0,Books and Periodicals,Book stores
25/04/2016,DCC-RATCLIFFE SCH-C- 0503860,Amazon UK Marketplace,1.94,0,General Retail and Wholesale,Miscellaneous retail
25/04/2016,DCC-RATCLIFFE SCH-C- 0503860,WP-LINGUASCOPE,91.58,0,Training and Educational,Schools
25/04/2016,DECOY PRIMARY-CP0636389GBP,BOOKER LIMITED NEWTON ABB,72.44,0,Catering and Catering Supplies,Caterers
25/04/2016,DECOY PRIMARY-CP0636389GBP,TESCO STORE 2920,30.79,0,General Retail and Wholesale,Grocery stores
25/04/2016,DEVON COUNTY COUNCIL- MARLAND,TESCO STORES 6269,27.33,0,General Retail and Wholesale,Grocery stores
25/04/2016,DEVON COUNTY COUNCIL- MARLAND,TESCO STORES 6269,155.01,0,General Retail and Wholesale,Grocery stores
26/04/2016,D C C WESTCROFT JUNIOR SCHOOL,THERAINFORESTCAFE.,350.23,0,Restaurants and Bars,Restaurants
26/04/2016,DCC COCKWOOD P.SCH-0479007,CURRYS ONLINE,228.97,0,General Retail and Wholesale,Electronics shops
26/04/2016,DCC COURT OF PROTECT-C 0509893,PET HEALTH PLANS,28.95,0,Financial Services,"Insurance sales, underwritering, premiums"
26/04/2016,DCC HATHERLEIGH PS-C 0514362,Amazon UK Marketplace,1.75,0,General Retail and Wholesale,Miscellaneous retail
26/04/2016,DCC SOUTH MOLTON COMMUNITY COL,TRAINLINE,-31.4,0,Travel - Air/Rail/Road,Passenger railways
26/04/2016,DCC SOUTH MOLTON COMMUNITY COL,TRAINLINE,-100.5,0,Travel - Air/Rail/Road,Passenger railways
26/04/2016,DCC TOTNES FULLFILLING LIVES S,Amazon UK Marketplace,26.99,0,General Retail and Wholesale,Miscellaneous retail
26/04/2016,DCC WEST HILL PRIMARY SCHOOL,Amazon UK Retail,60.59,0,Mail Order / Direct Selling,Direct sales companies
26/04/2016,DCC WHITCHURCH - C 0559309,Amazon UK Marketplace,3.14,0,General Retail and Wholesale,Miscellaneous retail
26/04/2016,DCC WILLAND SCH-C 0509473,Amazon UK Marketplace,4.89,0,Books and Periodicals,Book stores
26/04/2016,DCC WILLAND SCH-C 0509473,Amazon UK Marketplace,33.59,0,Books and Periodicals,Book stores
26/04/2016,DCC WILLAND SCH-C 0509473,Amazon UK Marketplace,5.97,0,General Retail and Wholesale,Miscellaneous retail
26/04/2016,DCC WILLAND SCH-C 0509473,TESCO STORES 5138,44.58,0,General Retail and Wholesale,Grocery stores
26/04/2016,DCC-BASSETTS FARM PR 0487469,WWW.RYMAN.CO.UK,35.91,0,"Office Stationery, Equipment and Supplies",Stationery & office supplies stores
26/04/2016,DCC-RATCLIFFE SCH-C- 0503860,Amazon UK Marketplace,2.62,0,Books and Periodicals,Book stores
26/04/2016,DCC-RATCLIFFE SCH-C- 0503860,Amazon UK Marketplace,4.76,0,General Retail and Wholesale,Miscellaneous retail
26/04/2016,DCC-RATCLIFFE SCH-C- 0503860,Amazon UK Marketplace,2.81,0,General Retail and Wholesale,Miscellaneous retail
26/04/2016,DCC-RATCLIFFE SCH-C- 0503860,Amazon UK Marketplace,2.64,0,General Retail and Wholesale,Miscellaneous retail
26/04/2016,DCC-RATCLIFFE SCH-C- 0503860,Amazon UK Marketplace,3.02,0,General Retail and Wholesale,Miscellaneous retail
26/04/2016,DCC-RATCLIFFE SCH-C- 0503860,Amazon UK Marketplace,2.81,0,General Retail and Wholesale,Miscellaneous retail
26/04/2016,DEVON COUNTY COUNCIL- MARLAND,Amazon UK Marketplace,29.71,0,General Retail and Wholesale,Miscellaneous retail
