Transaction Date,Local Authority Establishment,Benificiary (Merchant),Amount,Unrecoverable VAT,Expenditure Purpose,Merchant Category
17/09/2018,DCC EXETER CHILD-CP0670651GBP,PSD - FRAUD PERM. CREDIT,-308.10,0.00,Catering and Catering Supplies,Misc Food stores
17/09/2018,DCC EXETER CHILD-CP0670651GBP,PSD - FRAUD PERM. CREDIT,-479.98,0.00,General Retail and Wholesale,Variety stores
02/10/2018,DCC - TOTNES DIST-CP0666223GBP,GRO HM PASSPORT OFFICE,-9.25,0.00,Statutory Bodies,Government services
12/10/2018,DCC WINLEIGH-CP0710264GBP,ALEXANDRA WEBSITE,-74.38,0.00,Business Clothing and Footwear,Uniforms & commercial clothing
22/10/2018,DCC HAYWARDS PSC-CP0706018GBP,PAYPAL  YIWUSHIYANC,17.80,0.00,General Retail and Wholesale,Misc. clothing & accessory shops
22/10/2018,DCC HAYWARDS PSC-CP0706018GBP,PAYPAL  YIWUSHIYANC,-17.80,0.00,General Retail and Wholesale,Misc. clothing & accessory shops
23/10/2018,BOW PRIMARY SCH-CP0728252GBP,POST OFFICE COUNTER,20.90,0.00,Mail and Courier Services,Postal services
23/10/2018,CHUDLEIGH-CP0685924GBP,WATERSTONES.COM,11.94,0.00,Books and Periodicals,Book stores
23/10/2018,CHUDLEIGH-CP0685924GBP,WATERSTONES.COM,23.88,0.00,Books and Periodicals,Book stores
23/10/2018,DCC - TOTNES DIST-CP0666223GBP,TRAINLINE,20.25,0.00,Travel - Air/Rail/Road,Passenger railways
23/10/2018,DCC COMM SERV'S DEVON-TIVERTON,B&M RETAIL,65.44,0.00,General Retail and Wholesale,Discount stores
23/10/2018,DCC COMM SERV'S DEVON-TIVERTON,TESCO STORES 5138,24.10,0.00,General Retail and Wholesale,Grocery stores
23/10/2018,DCC COURT OF PROTECT-C 0509893,WWW.DEVON.GOV.UK,100.00,0.00,Training and Educational,Colleges & universities
23/10/2018,DCC DEVON HOSP SS-CP0691283GBP,AMZN MKTP UK MT93L0304 AM,191.20,0.00,Books and Periodicals,Book stores
23/10/2018,DCC EXETER CHILD-CP0670651GBP,TRAINLINE,13.75,0.00,Travel - Air/Rail/Road,Passenger railways
23/10/2018,DCC GT TORRINGTON-CP0715578GBP,GREAT TORRINGTON SF CONNE,82.41,0.00,Automotive Fuel,Automated fuel dispensers
23/10/2018,DCC SOUTH WEST SC-CP0685640GBP,WICKES BUILDING,50.95,0.00,Building Materials,Timber & building supplies
23/10/2018,DCC ST JOHNS PRIM-CP0686194GBP,TESCO DELIVERY SAVER2,6.99,0.00,Mail Order / Direct Selling,Continuous subscriptions
23/10/2018,DCC TEIGNBRIDGE-CP0684146GBP,LITTLE COURT HOTEL,151.48,0.00,Hotels and Accommodation,"Hotels, motels & resorts"
23/10/2018,DCC TEIGNBRIDGE-CP0684146GBP,TVLICENSING.CO.UK,150.50,0.00,Professional Services,Consultants & public relation services
23/10/2018,DCC TEIGNBRIDGE-CP0684146GBP,TRAINLINE,14.19,0.00,Travel - Air/Rail/Road,Passenger railways
23/10/2018,DCC TOTNES FULLFILLING LIVES S,WWW.POSTOFFICESHOP.CO.UK,13.52,0.00,"Office Stationery, Equipment and Supplies",Stationery & office supplies
23/10/2018,DCC WEST EXE-CP0685673GBP,AMZN Mktp UK MT3T840Y4,14.19,0.00,Books and Periodicals,Book stores
23/10/2018,DCC WEST EXE-CP0685673GBP,WWW.ARGOS.CO.UK,183.93,0.00,General Retail and Wholesale,Discount stores
23/10/2018,DCC WHITCHURCH - C 0559309,AMZN MKTP UK MT31D80T4 AM,27.47,0.00,Books and Periodicals,Book stores
23/10/2018,DCC WHITCHURCH - C 0559309,AMZN MKTP UK MT6V320P4 AM,12.16,0.00,Books and Periodicals,Book stores
23/10/2018,DCC WILLAND SCH-C 0509473,WWW.TES.COM,5.00,0.00,Training and Educational,Colleges & universities
23/10/2018,DCC-BASSETTS FARM PR 0487469,AMAZON.CO.UK MT3Z091V4 AM,14.70,0.00,General Retail and Wholesale,Miscellaneous retail
23/10/2018,DCC-KINGSBRIDGE D-CP0687064GBP,AMZN Mktp UK MT4IJ63E4,10.19,0.00,Books and Periodicals,Book stores
23/10/2018,DCC-NEW TREETOPS-CP0687057GBP,TESCO STORE 2487,40.58,0.00,General Retail and Wholesale,Grocery stores
23/10/2018,DEVON CC - SILVER HILL,AMZN Mktp UK MT9QN1064,32.83,0.00,Books and Periodicals,Book stores
23/10/2018,DEVON CC - SILVER HILL,ESSENTIALAIDS.COM LTD,81.58,0.00,Medical Supplies and Services,"Laboratory, medical & hospital equipment"
24/10/2018,BOW PRIMARY SCH-CP0728252GBP,HP INC UK LIMITED,1.99,0.00,Computer Equipment & Services,"Computers, peripherals & software"
24/10/2018,DCC - TOTNES DIST-CP0666223GBP,BRADDICKS HOLIDAY,362.00,0.00,Leisure Activities,Trailer parks & camp sites
24/10/2018,DCC - TOTNES DIST-CP0666223GBP,HMCOURTS-SERVICE.G,20.00,0.00,Statutory Bodies,Fines
24/10/2018,DCC COAVER CLUB-C0606311,PAYPAL  MAILBOXMATE,2.95,0.00,General Retail and Wholesale,Variety stores
24/10/2018,DCC COURT OF PROTECT-C 0509893,WWW.SWINTON.CO.UK,96.95,0.00,Financial Services,"Insurance sales, underwritering, premiums"
24/10/2018,DCC EAST DEVON LEARN DISB SERV,HOMEBASE LTD,16.00,0.00,Building Materials,Timber & building supplies
24/10/2018,DCC EXETER CHILD-CP0670651GBP,WWW.THEBIGSHEEP.CO.UK,80.06,0.00,Leisure Activities,Amusement parks & circuses
