Transaction Date,Local Authority Establishment,Benificiary (Merchant),Amount,Unrecoverable VAT,Expenditure Purpose,Merchant Category
16/06/2019,DCC ST PETERS PRI-CP0695111GBP,PSD FRAUD TEMP. DEBIT,379.18,0.00,Hotels and Accommodation,"Hotels, motels & resorts"
16/06/2019,DCC ST PETERS PRI-CP0695111GBP,PSD FRAUD TEMP. DEBIT,236.98,0.00,Hotels and Accommodation,"Hotels, motels & resorts"
16/06/2019,DCC ST PETERS PRI-CP0695111GBP,RWS-ESERVICES,-236.98,0.00,Hotels and Accommodation,"Hotels, motels & resorts"
16/06/2019,DCC ST PETERS PRI-CP0695111GBP,RWS-ESERVICES,-379.18,0.00,Hotels and Accommodation,"Hotels, motels & resorts"
16/06/2019,DCC ST PETERS PRI-CP0695111GBP,PSD FRAUD TEMP. CREDIT,-379.18,0.00,Hotels and Accommodation,"Hotels, motels & resorts"
16/06/2019,DCC ST PETERS PRI-CP0695111GBP,PSD FRAUD TEMP. CREDIT,-236.98,0.00,Hotels and Accommodation,"Hotels, motels & resorts"
17/07/2019,DCC TEIGNBRIDGE-CP0684146GBP,GEN REGISTER OFFICE,-11.00,0.00,Statutory Bodies,Government services
19/07/2019,DCC KING EDWARD VI COMMUNITY C,WWW.GEAR4MUSIC.COM,54.99,0.00,General Retail and Wholesale,Music stores & instruments
22/07/2019,DCC BEACON PRIM-CP0677493GBP,RS COMPONENTS,53.96,0.00,Building Materials,Electrical parts & equipment
22/07/2019,DCC BEACON PRIM-CP0677493GBP,RS COMPONENTS,0.00,0.00,Building Materials,Electrical parts & equipment
22/07/2019,DCC BEACON PRIM-CP0677493GBP,RS COMPONENTS,0.00,0.00,Building Materials,Electrical parts & equipment
22/07/2019,DCC BEACON PRIM-CP0677493GBP,RS COMPONENTS,0.00,0.00,Building Materials,Electrical parts & equipment
22/07/2019,DCC BEACON PRIM-CP0677493GBP,RS COMPONENTS,0.00,0.00,Building Materials,Electrical parts & equipment
22/07/2019,DCC EXETER CHILD-CP0714942GBP,TESCO STORE 3539,-86.17,0.00,General Retail and Wholesale,Grocery stores
22/07/2019,DCC SOUTH MOLTON COMMUNITY COL,EXETER RUGBY CLUB ES,140.00,0.00,General Retail and Wholesale,Sports & riding apparel shops
22/07/2019,DCC TEIGNBRIDGE-CP0684146GBP,Trainline.com,-3.60,0.00,Travel - Air/Rail/Road,Passenger railways
22/07/2019,EAST DEVON OFFICE-CP0681221GBP,Trainline.com,8.19,0.00,Travel - Air/Rail/Road,Passenger railways
23/07/2019,D C C WESTCROFT JUNIOR SCHOOL,WWW.THEWORKS.CO.UK,38.00,0.00,General Retail and Wholesale,Discount stores
23/07/2019,D C C WESTCROFT JUNIOR SCHOOL,AMZNMktplace,33.75,0.00,General Retail and Wholesale,Miscellaneous retail
23/07/2019,DCC - AXE BEACON-CP0697835GBP,TESCO-STORES 6457,7.20,0.00,General Retail and Wholesale,Grocery stores
23/07/2019,DCC - AXE BEACON-CP0697835GBP,TESCO-STORES 6457,11.76,0.00,General Retail and Wholesale,Grocery stores
