Transaction Date,Local Authority Establishment,Benificiary (Merchant),Amount,Unrecoverable VAT,Expenditure Purpose,Merchant Category
26/01/2016,D C C - BIDEFORD COLLEGE,Amazon UK Retail,17.96,0,Mail Order / Direct Selling,Direct sales companies
26/01/2016,D C C - BIDEFORD COLLEGE,WWW.LABELS-DIRECT.CO.U,14.38,0,"Office Stationery, Equipment and Supplies",Photocopy & reproduction services
29/01/2016,D C C - BIDEFORD COLLEGE,PAYPAL GROUPONINTE,-12.98,0,General Retail and Wholesale,Discount stores
4/2/2016,D C C - BIDEFORD COLLEGE,Amazon UK Marketplace,19.35,0,General Retail and Wholesale,Miscellaneous retail
9/2/2016,D C C - BIDEFORD COLLEGE,JS ONLINE GROCERY,92.75,0,General Retail and Wholesale,Grocery stores
4/3/2016,D C C - BIDEFORD COLLEGE,Amazon UK Retail,-17.96,0,Mail Order / Direct Selling,Direct sales companies
23/01/2016,D C C WESTCROFT JUNIOR SCHOOL,Amazon UK Marketplace,54.12,0,General Retail and Wholesale,Miscellaneous retail
25/01/2016,D C C WESTCROFT JUNIOR SCHOOL,"Amazon Svcs Europe,SAR",28.18,0,Books and Periodicals,Book stores
25/01/2016,D C C WESTCROFT JUNIOR SCHOOL,Amazon UK Marketplace,16.98,0,Books and Periodicals,Book stores
25/01/2016,D C C WESTCROFT JUNIOR SCHOOL,GODADDY COM EUROPE,6.1,0,Computer Equipment & Services,Computer network information services
25/01/2016,D C C WESTCROFT JUNIOR SCHOOL,Amazon UK Marketplace,14.98,0,General Retail and Wholesale,Miscellaneous retail
25/01/2016,D C C WESTCROFT JUNIOR SCHOOL,Amazon UK Marketplace,6.99,0,General Retail and Wholesale,Miscellaneous retail
25/01/2016,D C C WESTCROFT JUNIOR SCHOOL,Amazon UK Retail,61.79,0,Mail Order / Direct Selling,Direct sales companies
25/01/2016,D C C WESTCROFT JUNIOR SCHOOL,Amazon UK Retail,19.11,0,Mail Order / Direct Selling,Direct sales companies
26/01/2016,D C C WESTCROFT JUNIOR SCHOOL,Amazon UK Marketplace,98.9,0,General Retail and Wholesale,Miscellaneous retail
29/01/2016,D C C WESTCROFT JUNIOR SCHOOL,Amazon UK Marketplace,33.95,0,Books and Periodicals,Book stores
29/01/2016,D C C WESTCROFT JUNIOR SCHOOL,EDUBLOGS,28.88,0,Computer Equipment & Services,"Programming, data processing & system design"
29/01/2016,D C C WESTCROFT JUNIOR SCHOOL,OMOTAYO LTD,58.9,0,General Retail and Wholesale,"Hobby, toy & game shops"
29/01/2016,D C C WESTCROFT JUNIOR SCHOOL,Amazon UK Marketplace,18.38,0,General Retail and Wholesale,Miscellaneous retail
30/01/2016,D C C WESTCROFT JUNIOR SCHOOL,Amazon UK Marketplace,23.99,0,General Retail and Wholesale,Miscellaneous retail
1/2/2016,D C C WESTCROFT JUNIOR SCHOOL,Amazon UK Marketplace,43.27,0,Books and Periodicals,Book stores
1/2/2016,D C C WESTCROFT JUNIOR SCHOOL,Amazon UK Marketplace,20.95,0,Books and Periodicals,Book stores
1/2/2016,D C C WESTCROFT JUNIOR SCHOOL,OMOTAYO LTD,58.9,0,General Retail and Wholesale,"Hobby, toy & game shops"
5/2/2016,D C C WESTCROFT JUNIOR SCHOOL,MCGRAW-HILL ED,39.98,0,Books and Periodicals,"Books, periodicals & newspapers"
5/2/2016,D C C WESTCROFT JUNIOR SCHOOL,Amazon UK Retail,18.95,0,Mail Order / Direct Selling,Direct sales companies
11/2/2016,D C C WESTCROFT JUNIOR SCHOOL,SOUTHWESTTRAINS,82.65,0,Travel - Air/Rail/Road,Passenger railways
22/02/2016,D C C WESTCROFT JUNIOR SCHOOL,WWW.DVLA.GOV.UK,227.5,0,Statutory Bodies,Government services
24/02/2016,D C C WESTCROFT JUNIOR SCHOOL,WWW.FIRSTFENCE.NET,331.01,0,Building Materials,Timber & building supplies
26/02/2016,D C C WESTCROFT JUNIOR SCHOOL,Amazon UK Retail,19.49,0,Mail Order / Direct Selling,Direct sales companies
2/3/2016,D C C WESTCROFT JUNIOR SCHOOL,Amazon UK Retail,12.99,0,Mail Order / Direct Selling,Direct sales companies
8/3/2016,D C C WESTCROFT JUNIOR SCHOOL,TVLICENSING.CO.UK,145.5,0,Professional Services,Consultants & public relation services
18/03/2016,D C C WESTCROFT JUNIOR SCHOOL,IBIS READING CENTR,71.25,0,Hotels and Accommodation,"Hotels, motels & resorts"
23/03/2016,D C C WESTCROFT JUNIOR SCHOOL,CORNWALL FARMERS,126,0,Miscellaneous Industrial/Commercial Supplies,Misc business services
14/04/2016,D C C WESTCROFT JUNIOR SCHOOL,Amazon UK Marketplace,31.84,0,General Retail and Wholesale,Miscellaneous retail
21/04/2016,D C C WESTCROFT JUNIOR SCHOOL,WWW ESPARES CO UK,42.81,0,Building Materials,Electrical parts & equipment
1/2/2016,DCC - BAMPTON PRIM - C 0575599,Amazon UK Retail,12.78,0,Mail Order / Direct Selling,Direct sales companies
5/2/2016,DCC - BAMPTON PRIM - C 0575599,Amazon UK Retail,20,0,Mail Order / Direct Selling,Direct sales companies
6/2/2016,DCC - BAMPTON PRIM - C 0575599,Amazon UK Retail,3.9,0,Mail Order / Direct Selling,Direct sales companies
10/2/2016,DCC - BAMPTON PRIM - C 0575599,Amazon UK Retail,10.5,0,Mail Order / Direct Selling,Direct sales companies
10/2/2016,DCC - BAMPTON PRIM - C 0575599,Amazon UK Retail,10.06,0,Mail Order / Direct Selling,Direct sales companies
23/02/2016,DCC - BAMPTON PRIM - C 0575599,Amazon UK Marketplace,6.83,0,Books and Periodicals,Book stores
26/02/2016,DCC - BAMPTON PRIM - C 0575599,DROPBOX SNWLSS6VX1VJ,79,0,Computer Equipment & Services,Computer network information services
3/3/2016,DCC - BAMPTON PRIM - C 0575599,Amazon UK Marketplace,16.73,0,General Retail and Wholesale,Miscellaneous retail
3/3/2016,DCC - BAMPTON PRIM - C 0575599,Amazon UK Retail,21.85,0,Mail Order / Direct Selling,Direct sales companies
15/03/2016,DCC - BAMPTON PRIM - C 0575599,Amazon UK Marketplace,4.69,0,General Retail and Wholesale,Miscellaneous retail
28/03/2016,DCC - BAMPTON PRIM - C 0575599,Amazon UK Marketplace,21.8,0,General Retail and Wholesale,Miscellaneous retail
14/04/2016,DCC - BAMPTON PRIM - C 0575599,Amazon UK Retail,7.99,0,Mail Order / Direct Selling,Direct sales companies
22/01/2016,DCC - EXETER LEARNING DIS,Amazon UK Marketplace,10.5,0,Books and Periodicals,Book stores
22/01/2016,DCC - EXETER LEARNING DIS,THEFOAMSHOP.CO.UK,171.9,0,General Retail and Wholesale,Furniture & home furnishing
25/01/2016,DCC - EXETER LEARNING DIS,"Amazon Svcs Europe,SAR",28.5,0,Books and Periodicals,Book stores
4/2/2016,DCC - EXETER LEARNING DIS,Amazon UK Marketplace,20.22,0,Books and Periodicals,Book stores
4/2/2016,DCC - EXETER LEARNING DIS,Amazon UK Marketplace,14.44,0,General Retail and Wholesale,Miscellaneous retail
26/02/2016,DCC - EXETER LEARNING DIS,MOBILITYSMA,20.45,0,Professional Services,Professional services
16/03/2016,DCC - EXETER LEARNING DIS,Amazon UK Marketplace,3.48,0,Books and Periodicals,Book stores
17/03/2016,DCC - EXETER LEARNING DIS,"Amazon Svcs Europe,SAR",10.08,0,Books and Periodicals,Book stores
17/03/2016,DCC - EXETER LEARNING DIS,Amazon UK Marketplace,11.89,0,General Retail and Wholesale,Miscellaneous retail
