Transaction Date,Local Authority Establishment,Benificiary (Merchant),Amount,Expenditure Purpose,Merchant Category
29/07/2014,DCC - DAVEY COURT - C 0467695 (00467695),TESCO STORE 2487,136.28,General Retail and Wholesale,Grocery stores
30/07/2014,DCC WILLAND SCH-C 0509473 (00509473),Amazon  Mktplce EU-UK,12.72,Books and Periodicals,Book stores
30/07/2014,DCC COURT OF PROTECT-C 0509893 (00509893),Amazon EU,22.98,Mail Order / Direct Selling,Direct sales companies
30/07/2014,DCC ST PETERS - C 0559305 (00559305),Amazon EU,5.24,Mail Order / Direct Selling,Direct sales companies
30/07/2014,DCC CHARLTON LODGE C0554043 (00554043),TESCO STORES 5138,58.38,General Retail and Wholesale,Grocery stores
30/07/2014,DCC - EXETER LEARNING DIS (IH) (00311773),WWW.INCLUSIVE.CO.UK,94.44,"Office Stationery, Equipment and Supplies",Stationery & office supplies stores
01/08/2014,DCC - DAVEY COURT - C 0467695 (00467695),TESCO STORE 2487,118.16,General Retail and Wholesale,Grocery stores
01/08/2014,DCC CHARLTON LODGE C0554043 (00554043),TESCO STORES 5138,73.88,General Retail and Wholesale,Grocery stores
01/08/2014,DCC LEASE DAY CENTRE (00322822),WWW.HEALTHANDCARE.CO.U,79.98,Medical Supplies and Services,"Laboratory, medical & hospital equipment"
02/08/2014,DCC SOUTH MOLTON COMMUNITY COL (00320917),COMBINED PRECISION,159.84,Building Materials,Electrical parts & equipment
03/08/2014,DCC KING EDWARD VI COMMUNITY C (00247596),Amazon EU,28.98,Mail Order / Direct Selling,Direct sales companies
04/08/2014,D C C - BIDEFORD COLLEGE (00247481),Amazon  Mktplce EU-UK,-67.44,Books and Periodicals,Book stores
04/08/2014,DCC WILLAND SCH-C 0509473 (00509473),Amazon  Mktplce EU-UK,23.10,Books and Periodicals,Book stores
04/08/2014,DCC CHARLTON LODGE C0554043 (00554043),TESCO STORES 5138,70.35,General Retail and Wholesale,Grocery stores
04/08/2014,DCC COURT OF PROTECT-C 0509893 (00509893),THE BIKE SHED,645.00,"Vehicles, Servicing and Spares",Motorcycle dealers
05/08/2014,DCC - DAVEY COURT - C 0467695 (00467695),TESCO STORE 2487,148.04,General Retail and Wholesale,Grocery stores
05/08/2014,DCC SWIMBRIDGE PRMRY SCHOOL-NO (00246956),GOODRICH CASTLE,12.99,Leisure Activities,Tourist attractions and exhibitions
06/08/2014,DCC ORCHARD LEA RESI 0474050 (00474050),TESCO DELIVERY SAVER2,6.00,Mail Order / Direct Selling,Continuous subscriptions
06/08/2014,DCC SOUTH MOLTON COMMUNITY COL (00320917),Amazon EU,99.99,Mail Order / Direct Selling,Direct sales companies
06/08/2014,DCC CHARLTON LODGE C0554043 (00554043),TESCO STORES 5138,42.91,General Retail and Wholesale,Grocery stores
07/08/2014,DCC LEASE DAY CENTRE (00322822),Amazon  Mktplce EU-UK,31.64,Books and Periodicals,Book stores
07/08/2014,DCC ST HORRABRIDGE-C 0514361 (00514361),Amazon  Mktplce EU-UK,2.81,Books and Periodicals,Book stores
07/08/2014,DCC ST HORRABRIDGE-C 0514361 (00514361),Amazon  Mktplce EU-UK,2.81,Books and Periodicals,Book stores
07/08/2014,DCC ST HORRABRIDGE-C 0514361 (00514361),Amazon  Mktplce EU-UK,2.81,Books and Periodicals,Book stores
07/08/2014,DCC-ROSEBANK DAY-C 0531221 (00531221),ASDA STORES 7134,64.60,General Retail and Wholesale,Grocery stores
08/08/2014,D C C - BIDEFORD COLLEGE (00247481),Amazon EU,28.95,Mail Order / Direct Selling,Direct sales companies
08/08/2014,DCC - DAVEY COURT - C 0467695 (00467695),TESCO STORE 2487,128.38,General Retail and Wholesale,Grocery stores
08/08/2014,DCC CHARLTON LODGE C0554043 (00554043),TESCO STORES 5138,67.22,General Retail and Wholesale,Grocery stores
11/08/2014,DCC COURT OF PROTECT-C 0509893 (00509893),TV LICENSING,145.50,Professional Services,Consultants & public relation services
11/08/2014,DCC CHARLTON LODGE C0554043 (00554043),TESCO STORES 5138,39.05,General Retail and Wholesale,Grocery stores
12/08/2014,DCC - DAVEY COURT - C 0467695 (00467695),TESCO STORE 2487,125.58,General Retail and Wholesale,Grocery stores
12/08/2014,DCC CHARLTON LODGE C0554043 (00554043),TESCO STORES 5138,92.92,General Retail and Wholesale,Grocery stores
12/08/2014,WEST EXE TECHNOLOGY COLLEGE (00246772),ITUNES.COM/BILL,42.47,General Retail and Wholesale,Record shops
12/08/2014,DCC COURT OF PROTECT-C 0509893 (00509893),WWW.DISABLEDPERSONS-RA,20.00,Travel - Air/Rail/Road,Transportation services
13/08/2014,DCC COURT OF PROTECT-C 0509893 (00509893),DEVON REGISTRY,8.00,Training and Educational,Colleges & universities
13/08/2014,DCC - WITHERIDGE PRIM SCHOOL (00347015),WWW.FINDMYPAST.CO.UK,9.95,Clubs/Associations/Organisations,Membership organisations
14/08/2014,WEST EXE TECHNOLOGY COLLEGE (00246772),ITUNES.COM/BILL,200.30,General Retail and Wholesale,Record shops
14/08/2014,WEST EXE TECHNOLOGY COLLEGE (00246772),ITUNES.COM/BILL,17.22,General Retail and Wholesale,Record shops
14/08/2014,WEST EXE TECHNOLOGY COLLEGE (00246772),ITUNES.COM/BILL,200.30,General Retail and Wholesale,Record shops
14/08/2014,WEST EXE TECHNOLOGY COLLEGE (00246772),ITUNES.COM/BILL,25.91,General Retail and Wholesale,Record shops
14/08/2014,WEST EXE TECHNOLOGY COLLEGE (00246772),ITUNES.COM/BILL,85.51,General Retail and Wholesale,Record shops
14/08/2014,WEST EXE TECHNOLOGY COLLEGE (00246772),ITUNES.COM/BILL,25.91,General Retail and Wholesale,Record shops
